fo time ls_time n_ls_moves
97 861360 97 1134
214 862457 102 1196
320 864110 92 1173
445 861885 111 1246
620 862711 159 1122
726 859334 87 1120
847 861030 107 1166
952 862599 89 1145
1071 860384 105 1114
1184 862588 96 1164
1319 862133 101 1139
1440 862721 104 1137
1550 861280 94 1164
1677 861521 112 1100
1811 862126 116 1154
1942 860100 107 1136
2103 861245 145 1107
2219 862598 93 1169
2339 862599 105 1184
2458 862173 104 1192
2582 860863 108 1152
2685 860126 88 1110
2801 862265 97 1137
2918 863851 102 1171
3024 860179 89 1118
3151 861982 112 1138
3254 861933 87 1106
3367 861320 98 1118
3514 861995 111 1156
3629 859490 100 1110
3745 862864 100 1150
3865 861400 101 1149
3969 860274 89 1126
4080 861512 90 1131
4198 860546 103 1115
4307 861516 89 1109
4419 862173 98 1104
4539 862060 105 1148
4674 861834 114 1160
4821 861644 132 1133
4930 862304 92 1171
5033 861181 89 1089
5151 863926 94 1181
5263 862673 98 1149
5366 861214 86 1069
5482 860125 101 1130
5588 860089 90 1131
5710 862455 106 1176
5856 863536 131 1113
5978 860967 106 1083
6084 862577 90 1143
6199 862119 98 1160
6303 863038 89 1134
6422 860327 92 1122
6531 863574 94 1148
6634 857783 82 1054
6734 861517 86 1111
6852 861598 100 1174
6964 864726 97 1194
7084 864262 99 1238
7204 864412 105 1205
7309 861949 90 1140
7424 860618 100 1129
7530 863609 91 1140
7647 860958 102 1116
7750 860985 89 1147
7864 861130 99 1126
7971 860637 91 1155
8087 861722 101 1124
8196 864255 92 1174
8320 863156 109 1129
8427 863994 91 1165
8550 861487 109 1143
8651 860750 84 1072
8770 864502 100 1167
8872 861291 86 1093
9016 864055 118 1137
9142 858866 111 1136
9243 859430 86 1124
9371 863248 114 1166
9473 864756 86 1131
9590 861106 102 1154
9686 859880 80 1038
9806 863292 105 1203
9908 858835 87 1126
10023 859616 100 1111
10127 860003 89 1134
10255 860537 113 1181
10375 860937 104 1098
10488 861425 96 1181
10607 865506 103 1172
10719 862740 96 1187
10835 862424 101 1160
10962 861730 111 1126
11102 860676 123 1109
11252 861786 128 1140
11360 861015 91 1111
11488 860921 111 1084
11595 861721 92 1178
11715 861758 105 1175
11836 863749 104 1194
11953 862316 94 1158
12083 861640 114 1222
12192 861260 93 1168
12311 862254 104 1132
12427 864683 99 1157
12553 864105 110 1132
12653 858561 84 1094
12781 862219 111 1247
12885 858613 88 1034
13015 861197 114 1151
13132 862185 101 1182
13251 864372 98 1215
13372 863684 106 1234
13477 862434 89 1128
13592 862658 100 1108
13696 860123 89 1109
13827 863405 114 1167
13939 861995 94 1111
14057 862440 104 1141
14182 863109 108 1193
14302 858971 101 1090
14414 857438 97 1103
14536 862013 100 1229
14650 864535 99 1178
14760 863603 93 1190
14863 861423 88 1064
14973 860461 90 1148
15090 863356 102 1203
15202 865596 96 1231
15320 862877 103 1170
15427 859761 91 1144
15548 862629 106 1153
15649 861190 86 1112
15771 861147 108 1098
15871 860866 84 1100
15994 862109 108 1151
16097 860501 86 1080
16209 860611 96 1104
16312 861950 88 1152
16430 864441 98 1138
16552 860954 107 1243
16660 864121 93 1180
16783 860629 107 1168
16893 864154 95 1205
17008 864068 100 1155
17117 864323 94 1196
17230 863287 98 1122
17336 862132 91 1159
17448 860721 97 1095
17547 858270 84 1099
17665 862416 103 1182
17766 864972 86 1116
17882 862993 100 1137
17985 862094 88 1135
18099 861097 100 1069
18201 861135 87 1137
18314 860923 99 1090
18421 861270 92 1134
18543 864595 106 1142
18651 861145 92 1079
18777 860985 105 1110
18880 859387 88 1087
18991 862885 91 1142
19110 862422 104 1086
19227 859922 100 1120
19354 860685 111 1117
19480 862715 109 1195
19600 862938 104 1102
19711 859805 95 1115
19833 861391 102 1115
19944 860699 96 1136
20055 861583 92 1150
20166 861115 95 1120
20276 863082 93 1178
20394 860872 103 1196
