fo time ls_time n_ls_moves
3017 8065117 3017 1660
6512 8059717 3274 1649
9884 8058441 3111 1523
13499 8059919 3309 1681
17240 8066341 3445 1653
20850 8066434 3328 1616
24545 8067877 3413 1695
28495 8073033 3668 1822
32239 8070093 3463 1742
35783 8066689 3227 1612
39863 8077257 3805 1839
43869 8071112 3672 1818
47642 8065693 3490 1636
51498 8063644 3581 1689
55310 8066266 3492 1732
59069 8064342 3452 1693
62475 8058737 3112 1516
66111 8067903 3359 1678
69894 8065532 3502 1771
73908 8069240 3735 1860
77459 8060566 3269 1653
81242 8074505 3478 1721
84874 8070836 3356 1666
88645 8063545 3479 1582
