fo time ls_time n_ls_moves
474 865803 474 1223
915 865096 437 1169
1333 863005 415 1222
1725 863875 389 1100
2117 861991 389 1148
2548 863616 428 1194
2955 862524 403 1138
3372 863290 414 1230
3770 863221 395 1203
4157 862320 385 1141
4569 862552 409 1193
5048 862086 475 1161
5488 864468 437 1226
5919 865806 428 1181
6368 863690 445 1167
6755 863070 384 1136
7142 863441 384 1107
7539 863573 393 1168
7905 859834 363 1081
8298 862903 389 1164
8711 863559 408 1154
9113 863506 399 1166
9531 862721 415 1146
9940 860871 405 1149
10328 861824 385 1129
10743 864408 411 1203
11148 862806 402 1138
11572 863906 421 1245
11962 865100 386 1161
12378 865186 413 1192
12786 861571 405 1203
13177 864410 388 1172
13579 864220 398 1191
13988 863848 407 1187
14375 863026 383 1141
14798 862217 420 1194
15212 863879 412 1172
15633 865152 418 1190
16036 864047 399 1156
16448 864755 410 1169
16858 862661 407 1135
17270 864319 409 1181
17664 862485 391 1126
18054 863103 387 1126
18447 861749 390 1108
18852 862358 402 1113
19259 864573 404 1180
19667 863432 405 1156
20079 862894 409 1176
20438 861242 357 1061
20854 862798 413 1148
21249 864955 392 1105
21659 861666 407 1139
22067 863855 405 1189
22454 864085 383 1124
22837 862055 381 1141
23204 860111 363 1075
23590 863458 383 1153
24023 865102 430 1245
24391 862003 365 1055
24791 862891 397 1174
25157 861625 363 1095
25556 863236 395 1200
25961 865600 402 1199
26345 862441 381 1146
26762 862717 414 1197
27167 865824 402 1199
27556 864433 385 1141
27976 863064 417 1161
28341 859566 362 1081
28741 862271 397 1150
29132 862053 387 1135
29556 862849 421 1113
29952 861027 394 1140
30345 862211 390 1145
30735 863815 387 1160
31150 862418 412 1213
31547 860171 393 1160
31952 863060 402 1187
32339 864435 384 1123
32762 862176 420 1167
33143 860575 378 1128
33530 861073 384 1154
33929 861433 395 1190
34306 862585 374 1120
34682 862329 373 1130
35107 864736 422 1182
35520 863752 410 1160
35907 862345 384 1133
36289 860020 380 1111
36702 864882 408 1205
37122 863251 417 1230
37524 862559 399 1187
37904 863450 377 1111
38328 863342 421 1247
38742 864463 411 1159
39145 861832 400 1142
39566 861614 418 1212
39940 859846 370 1060
40325 861959 382 1118
40726 862634 397 1187
41121 863848 393 1175
41527 860929 402 1149
41941 865579 411 1222
42327 861923 383 1135
42726 862756 396 1170
43109 863578 380 1134
43488 861157 376 1111
43896 864013 405 1191
44289 862109 390 1142
44676 860807 384 1144
45062 863134 383 1168
45450 862893 384 1147
45850 863461 397 1188
46243 862949 390 1152
46632 862608 386 1138
47016 862343 381 1133
47405 860761 385 1098
47808 861208 400 1165
48188 862514 377 1113
48585 863257 393 1140
48989 863592 401 1168
49366 861578 374 1101
49789 865636 420 1219
50183 865456 392 1159
50582 861159 396 1161
50989 862140 404 1147
51405 862278 413 1231
51801 861387 393 1112
52229 863331 424 1169
52605 862335 373 1100
53037 864753 428 1190
53416 862838 376 1125
53806 862242 386 1082
54199 862340 390 1168
54588 861297 385 1112
54980 863566 390 1141
55382 864537 398 1177
55752 861320 367 1095
56123 864798 367 1116
56531 863301 405 1189
56932 863598 397 1140
57347 862575 412 1164
57729 863277 379 1108
58141 862289 409 1180
58544 862854 399 1169
58921 863384 375 1126
59361 861421 436 1137
59771 861836 407 1099
60169 865366 395 1195
60577 860615 405 1169
60990 862724 409 1136
61362 862879 369 1068
61740 860856 376 1069
62192 864131 449 1176
62672 862088 477 1150
63113 863463 437 1208
63527 862119 410 1194
63907 861715 377 1128
64298 862545 388 1153
64653 859319 352 1054
65029 863165 372 1132
65415 864978 384 1155
65790 863113 372 1096
66204 863355 411 1160
66611 863324 404 1191
66994 862248 380 1125
67375 862005 378 1111
67759 863716 381 1137
68154 862692 393 1186
68547 864019 390 1179
68930 862089 380 1128
69322 861911 389 1182
69746 864691 421 1250
70133 860966 384 1122
70517 861538 381 1145
70921 863123 401 1093
71380 862151 455 1167
71763 860350 380 1125
72219 866029 452 1268
72636 863920 415 1135
73013 860392 374 1121
73391 864181 375 1138
73825 865304 431 1314
74226 865869 398 1196
74630 863966 401 1198
75032 863463 399 1193
75425 863158 389 1175
75813 864155 385 1142
76180 860994 363 1104
76548 860177 365 1110
76941 862346 389 1183
77323 863886 380 1104
77695 859794 368 1090
78085 865756 387 1161
78455 862100 366 1107
78846 863826 388 1167
79243 863952 394 1183
79629 863774 383 1131
79989 862289 357 1088
80375 865553 383 1164
80752 864247 374 1118
81138 862137 382 1137
81519 860715 378 1131
81901 862094 380 1151
82303 863726 399 1184
82693 864117 387 1167
83084 863207 387 1151
83496 863628 410 1224
83862 859436 363 1100
84239 864228 372 1134
84647 864933 405 1226
85056 862680 406 1188
