fo time ls_time n_ls_moves
263 1625833 263 1338
612 1620875 314 1260
913 1620359 259 1305
1194 1620902 244 1281
1480 1619694 243 1299
1769 1624220 252 1237
2078 1622519 272 1340
2359 1620163 241 1273
2654 1623079 259 1311
2971 1623477 280 1342
3287 1626413 278 1351
3596 1620818 270 1224
3904 1619058 266 1290
4215 1621700 271 1300
4523 1621863 269 1337
4813 1618623 252 1277
5125 1620302 267 1291
5416 1621690 253 1310
5706 1624091 253 1284
6009 1625085 266 1380
6299 1622322 252 1282
6596 1621643 252 1280
6887 1623224 254 1359
7190 1619895 265 1389
7480 1620368 246 1330
7778 1622752 262 1375
8078 1623526 258 1325
8378 1623948 261 1328
8690 1624866 272 1307
8988 1621154 259 1369
9269 1617721 243 1309
9577 1624285 261 1397
9878 1622267 264 1326
10198 1622762 280 1332
10485 1619321 250 1345
10765 1621070 243 1273
11098 1624560 284 1392
11391 1625202 256 1329
11701 1622353 260 1371
12008 1627370 269 1355
12304 1621765 259 1245
12581 1619886 238 1186
12850 1619036 231 1214
13171 1620492 278 1289
13463 1624291 254 1335
13771 1623859 271 1342
14084 1623707 257 1293
14385 1624922 263 1410
14690 1625154 265 1365
14968 1617551 240 1226
15287 1626227 281 1424
15565 1623550 240 1261
15851 1621337 248 1318
16176 1622990 287 1281
16485 1620031 271 1326
16793 1623068 271 1320
17071 1622777 239 1249
17380 1621937 270 1318
17719 1619673 289 1321
18041 1619846 272 1285
18367 1626307 284 1450
18693 1622027 288 1307
19035 1625371 301 1393
19368 1623841 290 1302
19763 1621345 349 1332
20211 1625920 397 1394
20558 1620175 303 1314
20893 1624792 294 1324
21248 1622865 315 1378
21616 1621280 320 1309
21930 1621240 273 1328
22265 1626137 288 1359
22561 1621345 255 1330
22930 1620112 319 1302
23257 1625050 284 1339
23569 1621705 271 1308
23886 1622503 280 1281
24222 1618579 277 1272
24563 1623218 301 1436
24871 1618570 268 1264
25187 1620679 274 1282
25501 1621212 273 1295
25841 1624080 298 1275
26142 1618053 261 1194
26482 1621868 301 1415
26776 1624322 256 1342
27080 1622499 265 1321
27374 1623831 248 1290
27653 1622379 239 1238
27968 1624122 276 1275
28297 1621923 289 1385
28708 1624954 365 1384
29154 1625000 401 1332
29491 1622659 298 1347
29824 1624826 294 1366
30222 1622614 353 1284
30569 1615976 274 1191
30857 1623601 250 1302
31151 1623951 257 1285
31460 1617366 257 1292
31775 1623093 277 1381
32085 1621299 265 1224
32408 1620059 282 1271
32714 1620339 263 1274
33032 1622642 269 1290
33320 1620648 243 1308
33614 1622558 257 1323
33915 1625126 265 1352
34199 1621986 244 1257
34531 1622496 286 1320
34841 1619301 265 1245
35141 1622699 262 1306
35430 1618827 244 1292
35727 1615052 253 1264
36058 1623757 294 1398
36350 1622279 249 1285
36662 1623831 274 1370
36989 1622481 279 1381
37267 1618280 241 1273
37577 1622490 265 1370
37887 1623181 272 1374
38183 1624283 255 1307
38472 1621916 250 1326
38800 1622025 290 1311
39083 1618519 244 1273
39369 1620631 247 1270
39685 1620373 275 1288
40008 1623989 284 1355
40315 1623781 267 1334
40615 1623418 261 1392
40884 1616552 232 1220
41193 1623421 263 1362
41480 1624948 250 1327
41749 1622908 232 1231
42048 1621378 254 1330
42331 1622900 246 1305
42609 1618910 241 1232
42907 1618572 251 1337
43194 1619845 248 1339
43489 1625022 258 1324
43786 1624764 259 1278
44080 1621327 256 1325
44377 1620904 252 1320
44667 1621261 252 1327
44995 1623941 291 1333
45303 1621966 264 1303
45605 1620820 261 1311
45906 1617370 255 1255
46226 1622554 276 1309
46545 1621566 266 1268
46838 1623672 255 1323
47158 1623910 265 1349
47441 1622353 244 1214
47757 1622517 278 1376
48044 1619441 245 1270
48349 1624815 267 1277
48664 1625045 273 1357
48965 1622629 255 1256
49259 1622279 257 1313
49555 1624071 256 1371
49831 1620692 238 1221
50140 1618939 271 1257
50453 1621023 271 1282
50791 1623476 297 1323
51112 1617873 283 1168
51427 1615974 273 1214
51759 1622236 292 1337
52062 1619765 256 1264
52353 1622742 252 1348
52658 1624121 267 1363
52969 1623356 274 1376
53260 1622670 253 1299
53556 1624225 251 1316
53833 1619244 240 1268
54109 1620973 239 1252
54417 1620772 259 1286
54734 1622965 277 1319
55064 1621260 282 1336
55362 1623392 259 1309
55671 1622082 262 1291
55973 1622404 264 1384
56266 1621465 255 1292
56569 1623843 264 1400
56888 1623673 282 1416
57211 1625158 281 1311
57496 1620101 248 1308
57776 1619446 234 1233
58075 1619031 260 1328
58379 1625093 266 1395
58664 1621823 242 1283
58997 1626133 283 1368
59300 1619540 256 1233
59646 1624839 304 1471
