fo time ls_time n_ls_moves
395 852036 395 1142
798 852047 400 1137
1198 851936 397 1173
1577 852537 375 1098
1959 854598 379 1154
2351 853108 389 1141
2768 852072 414 1173
3141 851857 371 1088
3527 851006 382 1128
3914 851401 384 1144
4333 853897 415 1223
4714 855000 377 1130
5089 851359 373 1118
5485 853392 393 1169
5866 852329 377 1134
6277 854030 408 1231
6666 854496 386 1174
7047 853407 377 1130
7447 854829 397 1183
7827 852893 377 1133
8209 853454 379 1131
8583 851826 371 1128
8982 853183 395 1178
9374 853697 389 1146
9771 857403 395 1153
10161 852036 385 1129
10569 854862 405 1219
10948 854673 375 1121
11334 852712 382 1156
11738 853850 400 1201
12136 853001 395 1171
12544 853605 405 1162
12958 852998 410 1178
13398 854564 438 1226
13823 853511 422 1181
14206 852902 380 1111
14637 852429 428 1178
15053 853182 413 1151
15466 854615 411 1175
15845 852129 375 1110
16236 851166 388 1109
16645 854606 406 1193
17012 850405 364 1071
17404 852990 389 1145
17799 853014 393 1151
18197 853686 395 1194
18574 853719 374 1133
19001 856127 424 1180
19390 855111 386 1149
19798 852237 405 1203
20201 853562 400 1164
20591 854618 387 1152
20974 851556 380 1145
21358 850897 381 1144
21735 850811 373 1121
22144 854570 406 1225
22525 851526 378 1097
22912 851135 383 1150
23294 853992 378 1122
23697 852232 399 1168
24081 848610 381 1106
24482 855533 398 1175
24858 852536 372 1102
25216 851140 355 1058
25605 853619 386 1160
25999 853784 391 1170
26390 853276 388 1167
26778 854619 385 1151
27134 850681 353 1084
27518 853712 381 1152
27906 854021 385 1129
28320 854047 411 1151
28740 852037 416 1166
29127 852647 384 1139
29527 853061 397 1192
29890 852346 360 1100
30260 852667 367 1099
30661 855078 398 1183
31043 855729 379 1141
31419 852422 373 1142
31826 853250 404 1212
32204 852365 375 1129
32571 849937 363 1073
32957 851468 383 1140
33361 852533 401 1162
33778 854553 413 1213
34161 854735 380 1139
34563 854419 400 1138
34990 855285 423 1229
35380 854179 387 1153
35766 852549 383 1133
36132 852474 363 1113
36505 849230 370 1097
36945 854631 437 1149
37338 849480 389 1078
37724 853494 382 1133
38197 855218 469 1173
38600 852675 399 1166
39000 854404 397 1212
39394 852648 392 1165
39762 851602 364 1106
40154 852243 390 1163
40540 853373 382 1129
40909 851086 366 1090
41291 851265 380 1150
41678 852432 383 1156
42041 849689 360 1081
42428 854661 384 1124
42820 854952 389 1159
43196 852834 372 1142
43578 853495 379 1115
43955 849811 374 1126
44323 850563 365 1078
44683 853029 357 1094
45089 856502 402 1196
45466 854416 375 1126
45863 855297 393 1176
46231 852904 365 1087
46594 855246 360 1106
46994 854252 396 1196
47390 856296 393 1165
47760 852681 367 1092
48147 851862 384 1152
48530 852242 380 1143
48929 855777 395 1186
49303 852562 371 1125
49693 855416 387 1174
50088 853312 392 1160
50492 852658 401 1206
50869 852510 374 1153
51241 853072 369 1103
51644 853089 400 1170
52021 852161 374 1086
52374 851090 350 1070
52764 854940 387 1139
53152 854318 385 1158
53538 851016 383 1153
53925 854268 384 1141
54299 852580 371 1129
54668 853052 366 1099
55041 851049 370 1111
55426 853668 382 1119
55827 854749 397 1214
56204 852220 373 1127
56601 853095 394 1166
56978 852667 375 1108
57367 854169 386 1148
57745 852675 374 1110
58155 854283 407 1164
58555 850400 397 1122
58927 852790 369 1092
59331 852484 401 1195
59730 853590 396 1131
60127 855336 394 1178
60516 852793 385 1169
60906 850248 387 1127
61289 854356 380 1107
61685 856006 393 1171
62070 854178 382 1151
62472 853312 398 1191
62848 852541 373 1142
63254 855867 403 1187
63651 854156 394 1167
64042 851960 388 1167
64418 850664 373 1112
64792 853416 371 1123
65189 854218 393 1178
65569 853674 377 1129
65945 852165 373 1106
66341 852664 393 1145
66784 852419 440 1158
67174 855010 386 1125
67552 852225 375 1108
67951 853465 394 1162
68327 852127 373 1101
68717 851807 386 1122
69124 851602 405 1171
69529 852956 397 1134
69911 853444 379 1115
70306 853634 391 1174
70752 850218 443 1129
71146 852757 390 1135
71555 852099 406 1169
71939 851807 382 1127
72350 851631 408 1124
72732 852128 378 1117
73144 853563 409 1205
73505 851401 358 1063
73893 854410 385 1160
74293 853942 397 1188
74676 852462 379 1115
75048 854853 369 1110
75414 849583 363 1099
75800 853965 382 1147
76186 852416 383 1126
76574 853397 385 1149
76948 850652 371 1110
77358 855800 407 1216
77746 854148 384 1135
78146 850199 396 1116
78557 856117 408 1157
78954 852447 394 1165
79320 851507 363 1083
79724 853517 401 1171
80124 855548 396 1208
80517 852911 390 1160
80899 852831 378 1133
81287 853606 385 1153
81665 853258 375 1117
82058 854769 390 1192
82461 856148 399 1194
82844 853547 381 1121
83247 853972 400 1200
83651 853003 401 1199
84049 853006 395 1171
84433 853593 381 1144
84829 852999 392 1170
85218 851988 386 1151
