fo time ls_time n_ls_moves
4326 8066283 4326 1637
8933 8072686 4565 1708
13936 8073653 4962 1812
18338 8061442 4357 1612
23318 8069222 4938 1788
28242 8071530 4880 1855
32364 8064176 4076 1581
36889 8069252 4482 1744
41702 8068520 4771 1826
46130 8061376 4379 1616
50704 8070605 4533 1702
55012 8071373 4263 1646
59406 8062973 4353 1603
63733 8070356 4284 1652
68466 8064815 4689 1742
72887 8067090 4377 1648
77024 8072258 4097 1578
81521 8069301 4455 1679
85807 8063358 4244 1553
