fo time ls_time n_ls_moves
307 1610196 307 1461
672 1599349 329 1322
968 1602953 259 1269
1273 1602125 265 1257
1608 1602160 289 1239
1930 1598577 285 1324
2258 1603004 282 1355
2547 1600964 250 1229
2838 1601224 243 1284
3145 1605007 270 1429
3440 1600308 257 1313
3741 1605243 262 1429
4033 1603529 255 1302
4362 1604792 282 1363
4701 1601395 291 1331
5013 1604461 267 1364
5366 1599004 308 1271
5722 1602711 316 1335
6041 1602813 273 1339
6371 1602031 289 1325
6679 1602915 264 1305
7010 1602600 292 1326
7384 1607938 316 1390
7714 1601257 293 1284
8031 1598770 270 1272
8371 1601686 301 1308
8656 1600591 247 1224
8971 1601482 278 1328
9267 1604949 257 1357
9573 1598182 268 1245
9914 1602254 291 1310
10199 1597911 242 1225
10528 1607003 282 1385
10864 1595810 294 1269
11165 1600992 259 1270
11494 1606359 282 1353
11834 1603923 296 1337
12170 1602344 295 1343
12511 1604744 299 1437
12843 1600748 289 1231
13151 1603743 270 1298
13483 1600014 291 1259
13766 1602087 244 1189
14090 1605723 284 1291
14423 1603511 292 1387
14750 1600542 287 1336
15060 1600312 271 1230
15404 1603958 302 1232
15720 1604544 276 1309
16063 1601859 300 1395
16367 1598924 265 1265
16665 1602502 256 1285
16971 1604254 268 1414
17284 1605946 273 1354
17605 1601747 281 1313
17937 1604306 291 1309
18260 1602325 282 1340
18559 1600611 259 1248
18851 1602643 254 1323
19143 1604134 254 1367
19459 1600336 272 1322
19751 1598854 255 1232
20073 1602901 283 1317
20392 1603416 277 1316
20717 1604115 285 1328
21022 1607166 264 1367
21330 1605214 268 1340
21622 1604696 252 1276
21911 1600511 252 1318
22241 1605646 288 1408
22537 1604057 258 1350
22870 1606638 295 1368
23196 1604033 280 1373
23508 1604510 276 1317
23800 1600989 253 1323
24095 1604308 257 1292
24398 1603306 252 1296
24700 1600765 263 1267
25004 1600737 266 1274
25355 1604177 312 1356
25684 1600648 293 1335
26000 1598003 276 1334
26357 1604994 318 1372
26651 1602093 249 1313
26946 1602810 254 1292
27252 1600389 268 1279
27531 1604963 243 1254
27840 1601023 266 1202
28132 1603402 255 1307
28444 1605427 266 1405
28726 1604486 245 1269
29024 1602428 260 1315
29350 1606137 287 1503
29677 1602316 290 1277
29977 1603906 261 1311
30253 1599861 237 1242
30584 1603329 290 1332
30892 1605000 270 1310
31187 1601473 257 1308
31498 1602592 272 1322
31770 1598869 231 1214
32108 1603239 299 1302
32386 1596822 241 1272
32701 1605534 278 1378
33042 1607758 295 1330
33392 1603548 313 1286
33700 1603075 271 1352
33987 1606883 246 1279
34278 1600621 252 1304
34575 1603955 260 1329
34871 1602663 252 1333
35170 1602033 263 1393
35473 1604568 264 1314
35741 1598791 230 1201
36019 1602568 241 1281
36317 1600133 260 1282
36602 1600762 244 1252
36897 1604487 256 1373
37210 1604963 276 1366
37494 1599522 247 1306
37763 1601718 232 1247
38080 1603699 274 1306
38373 1600243 255 1303
38672 1602139 262 1333
38959 1602509 249 1343
39232 1600762 235 1262
39505 1599896 236 1242
39796 1602513 241 1297
40083 1605100 251 1305
40405 1605750 285 1481
40701 1602730 257 1369
40977 1601932 240 1265
41272 1601013 247 1301
41559 1601026 250 1324
41857 1604172 261 1349
42151 1602980 253 1309
42422 1601063 235 1241
42714 1603998 247 1314
43002 1601359 250 1340
43284 1600448 245 1211
43580 1604841 246 1284
43862 1605710 245 1311
44136 1600722 235 1229
44462 1598526 282 1373
44755 1602459 255 1318
45065 1599978 271 1253
45327 1600286 223 1179
45626 1605698 262 1406
45907 1600259 245 1222
46189 1602506 242 1274
46481 1605806 255 1352
46778 1603962 261 1325
47066 1601855 250 1352
47363 1603773 248 1338
47667 1604305 253 1359
47949 1603934 246 1325
48251 1606917 265 1378
48541 1601615 251 1308
48813 1600464 235 1267
49105 1600202 255 1256
49390 1604709 248 1332
49668 1599637 241 1301
49938 1599430 233 1221
50229 1601410 246 1248
50535 1605151 269 1356
50851 1600131 277 1295
51155 1602567 265 1347
51512 1604009 315 1399
51836 1599611 285 1373
52136 1600493 251 1294
52444 1605175 271 1380
52728 1598891 238 1208
53053 1601504 287 1399
53404 1608641 313 1430
53695 1602625 254 1370
53975 1605543 243 1278
54299 1602604 277 1303
54597 1605414 261 1435
54902 1599687 259 1238
55201 1606708 263 1289
55537 1606125 297 1403
55863 1604014 286 1383
56207 1602490 301 1290
56564 1607744 319 1366
56936 1605989 316 1384
57349 1601683 362 1291
57691 1604638 288 1402
57987 1604554 255 1272
58289 1605081 262 1347
58573 1602551 245 1276
58855 1602096 244 1285
59154 1598946 257 1298
59448 1603497 257 1354
59728 1602254 242 1274
60085 1606283 311 1327
60381 1601071 252 1245
60729 1603718 298 1305
61078 1602905 300 1381
61404 1602873 288 1275
61750 1602923 308 1326
62082 1601083 291 1354
62411 1602983 282 1333
62701 1598853 250 1297
63082 1603680 332 1384
63364 1604010 244 1273
63664 1603701 253 1358
63941 1597954 239 1284
64241 1602295 263 1332
64534 1602793 250 1317
64861 1607342 290 1518
65202 1601577 292 1378
65512 1600216 273 1212
65908 1601942 339 1283
66312 1600143 356 1338
66663 1602066 313 1338
67038 1605002 331 1359
67415 1601321 335 1308
67831 1605991 347 1361
68155 1604044 277 1376
68473 1603499 282 1308
68789 1600413 253 1244
69106 1600851 270 1287
69416 1600972 270 1310
69725 1604551 271 1391
70025 1602934 262 1320
70292 1599349 229 1188
70585 1603066 252 1281
70882 1600468 255 1276
71183 1601821 261 1294
71493 1601965 268 1280
71802 1601739 267 1263
72138 1600802 296 1290
72453 1603453 274 1400
72805 1605996 308 1359
73108 1601359 264 1309
73418 1603287 268 1372
73716 1601869 261 1405
73997 1604398 245 1284
74293 1604370 248 1306
74573 1601880 243 1261
74862 1598212 252 1304
75164 1602398 258 1317
75451 1600424 250 1287
75733 1599263 241 1231
76020 1605100 249 1311
76307 1603317 250 1306
76620 1601020 271 1320
76996 1606727 335 1377
77291 1605180 254 1349
77602 1602097 275 1402
77911 1603699 262 1350
78189 1600693 241 1270
78485 1605034 259 1272
78770 1600948 245 1264
79076 1602616 267 1429
79377 1605135 261 1333
79676 1597691 250 1320
79963 1603486 250 1302
80256 1601412 246 1289
80549 1604003 257 1351
80834 1601825 247 1251
81133 1607068 260 1399
81453 1604128 260 1337
81745 1602404 247 1294
82016 1597078 233 1213
82319 1603426 267 1342
82610 1605010 250 1320
82894 1601037 245 1191
83181 1601252 240 1237
83478 1602003 258 1377
83767 1599823 250 1298
84051 1602387 241 1235
84330 1605062 242 1285
84642 1601473 276 1351
84935 1604778 254 1377
85206 1601365 235 1248
