fo time ls_time n_ls_moves
475 1615873 475 1343
963 1614300 423 1341
1411 1616936 399 1302
1782 1617628 325 1321
2204 1618593 383 1346
2560 1611728 309 1225
2977 1614373 369 1341
3374 1615539 337 1336
3725 1618123 312 1329
4035 1613832 271 1269
4380 1616429 301 1321
4698 1619655 277 1308
5051 1614302 295 1341
5452 1614222 360 1358
5918 1618260 402 1284
6382 1616265 407 1278
6907 1616854 456 1310
7471 1616293 519 1275
7953 1616635 431 1277
8557 1615883 551 1279
8933 1617843 325 1365
9426 1619280 454 1387
9822 1613808 324 1222
10238 1615090 360 1273
10685 1617413 394 1419
11027 1613500 301 1230
11494 1615554 415 1461
11897 1615812 366 1303
12186 1616777 249 1304
12666 1616873 441 1411
13083 1615377 348 1262
13392 1618080 252 1293
13861 1619100 410 1371
14278 1617490 367 1234
14568 1617376 253 1314
14871 1617859 266 1322
15174 1617533 266 1392
15509 1619280 299 1303
15868 1613074 292 1242
16207 1619448 299 1336
16568 1617260 321 1367
16970 1617777 348 1338
17256 1615649 240 1273
17544 1615887 251 1271
17861 1619925 281 1444
18166 1616325 260 1275
18436 1613008 234 1242
18721 1614718 248 1269
19012 1615827 253 1367
19280 1612375 230 1240
19588 1615468 270 1336
19875 1615863 250 1327
20160 1614701 247 1306
20470 1616238 264 1418
20754 1615713 246 1325
21041 1617868 250 1274
21324 1614529 241 1294
21611 1613866 248 1308
21915 1618279 266 1339
22216 1619577 262 1360
22481 1613198 229 1220
22764 1615919 245 1255
23049 1614137 247 1276
23324 1612306 239 1289
23630 1617427 268 1334
23912 1614560 244 1309
24184 1618525 234 1259
24496 1619906 276 1334
24793 1618482 259 1322
25147 1614530 317 1234
25646 1613655 435 1226
25967 1618657 284 1357
26247 1614563 242 1281
26550 1622228 266 1443
26848 1617853 250 1340
27127 1614699 241 1288
27430 1617839 266 1326
27727 1617381 253 1348
28000 1612640 236 1272
28283 1615050 247 1282
28561 1613013 236 1226
28827 1614819 229 1232
29116 1617525 251 1332
29412 1615527 249 1337
29709 1614877 259 1346
30167 1615550 420 1296
30528 1614019 313 1260
30958 1615738 383 1388
31282 1620568 283 1398
31567 1612646 238 1235
31887 1614568 282 1317
32252 1619166 325 1422
32676 1618605 380 1319
32972 1616176 258 1348
33298 1617616 289 1351
33584 1615763 249 1327
33901 1617214 278 1360
34166 1610127 226 1187
34442 1615018 240 1273
34715 1611600 235 1247
35020 1618381 261 1343
35303 1618404 247 1300
35600 1614262 257 1307
35887 1620784 250 1342
36156 1611552 230 1209
36456 1617764 261 1325
36738 1616824 245 1306
37010 1613671 236 1255
37290 1615478 241 1235
37576 1613289 249 1262
37868 1620716 254 1374
38171 1617204 258 1360
38463 1618169 255 1371
38766 1618046 268 1391
39069 1617667 263 1396
39354 1617129 249 1338
39662 1620882 267 1349
39948 1618702 248 1308
40248 1617692 263 1364
40528 1615041 236 1246
40811 1616114 246 1239
41113 1617907 266 1290
41401 1616708 249 1342
41698 1618324 260 1371
42005 1622294 265 1346
42295 1617142 253 1364
42582 1616794 249 1303
42880 1618885 256 1383
43183 1616991 266 1378
43493 1617586 264 1387
43803 1616084 273 1426
44105 1617799 252 1281
44394 1621926 252 1362
44679 1614903 248 1269
44969 1617171 245 1256
45252 1617719 246 1298
45527 1611582 238 1275
45827 1617564 259 1330
46140 1620009 276 1445
46425 1615145 249 1256
46702 1616668 239 1275
46992 1618567 253 1381
47272 1614669 244 1311
47578 1616814 258 1371
47877 1617597 262 1391
48171 1616074 250 1323
48471 1618627 260 1354
48750 1615591 242 1239
49018 1612786 224 1187
49301 1618998 245 1318
49583 1614656 246 1334
49886 1619669 259 1352
50171 1618530 247 1338
50445 1614772 238 1270
50730 1616791 241 1295
51012 1620110 246 1301
51319 1618124 269 1351
51593 1615634 236 1257
51870 1615076 240 1293
52152 1619686 245 1279
52444 1617446 248 1302
52722 1614269 240 1279
53018 1617238 259 1295
53301 1615400 244 1295
53578 1615301 239 1287
