fo time ls_time n_ls_moves
99 851263 99 1102
202 851742 89 1079
331 853473 112 1227
442 853712 95 1136
646 854108 185 1166
778 852471 112 1121
899 850466 104 1156
1026 851340 111 1125
1139 852350 98 1174
1264 850490 97 1126
1378 856889 99 1246
1489 852905 89 1123
1608 852857 104 1181
1718 854372 90 1126
1848 852502 115 1206
1955 853744 92 1212
2074 855832 103 1173
2187 853325 98 1165
2316 854412 115 1149
2420 853037 89 1135
2544 854419 98 1161
2656 853573 98 1214
2764 851122 87 1092
2868 851119 90 1110
2979 853308 91 1120
3084 850288 90 1125
3199 855831 93 1165
3332 853717 100 1119
3437 851791 90 1153
3553 853461 101 1162
3660 853600 92 1183
3786 852846 111 1154
3892 851634 88 1105
4011 853398 104 1134
4120 853475 92 1156
4238 854444 104 1132
4362 853979 106 1179
4489 853940 107 1169
4624 854961 120 1145
4733 854438 93 1185
4857 854699 108 1243
4965 856127 93 1200
5088 853457 107 1136
5202 853265 99 1185
5332 853150 111 1105
5466 854595 118 1197
5573 851534 85 1084
5700 853875 109 1173
5808 856068 93 1191
5923 851033 100 1111
6027 853078 89 1141
6144 854688 102 1142
6248 850968 89 1144
6382 855772 119 1230
6496 851621 98 1150
6609 852371 95 1185
6721 852481 97 1106
6838 852304 102 1196
6950 851830 95 1075
7054 854346 89 1114
7174 851564 105 1184
7283 855131 95 1178
7398 852179 99 1120
7502 852333 89 1145
7644 853178 128 1170
7762 853242 103 1146
7885 855861 101 1161
8010 853939 111 1131
8113 852856 87 1134
8227 853241 99 1115
8328 853026 85 1076
8441 850731 98 1102
8546 850921 90 1143
8684 852836 122 1163
8803 854552 103 1215
8919 851069 92 1054
9027 852222 93 1128
9150 854898 97 1213
9262 855751 98 1151
9372 852523 91 1153
9489 852152 102 1173
9597 854763 93 1215
9714 853334 102 1195
9820 852021 91 1186
9936 851191 101 1090
10045 854126 95 1198
10162 852945 102 1160
10269 855150 93 1182
10393 852996 109 1164
10501 855497 92 1193
10618 851663 100 1153
10723 853210 90 1150
10838 851572 95 1161
10950 853142 97 1127
11062 855490 95 1179
11186 854617 108 1198
11293 852785 91 1128
11409 851022 100 1119
11519 854888 94 1206
11649 854075 115 1206
11758 856092 93 1194
11874 850574 100 1124
11979 853395 90 1135
12094 853016 101 1138
12200 852864 91 1170
12319 852498 104 1156
12420 851720 85 1114
12532 852931 98 1093
12635 852091 87 1122
12768 853041 119 1182
12869 854018 86 1094
13002 852233 116 1198
13121 852365 103 1167
13227 851801 88 1106
13345 853791 102 1169
13450 854040 89 1124
13564 854942 100 1168
13669 853513 89 1147
13786 855601 101 1164
13889 851483 88 1109
13999 854440 95 1079
14102 853456 87 1094
14248 850100 130 1121
14365 850668 102 1130
14483 854724 100 1166
14585 851987 87 1096
14699 853367 97 1128
14811 852581 97 1126
14939 852879 110 1189
15054 852050 99 1128
15160 853659 91 1169
15273 851730 98 1094
15377 852233 88 1122
15492 850430 101 1053
15605 853041 97 1104
15726 856031 106 1219
15829 851874 87 1128
15945 854730 101 1173
16052 852677 92 1190
16170 854657 103 1179
16276 852391 91 1160
16395 854342 103 1174
16494 849906 84 1078
16611 850955 99 1129
16714 853541 88 1135
16836 852946 99 1129
16947 854709 96 1127
17056 853346 92 1170
17170 855436 100 1179
17298 850971 110 1147
17428 853486 107 1100
17531 852443 88 1134
17642 850816 97 1070
17748 854980 90 1170
17866 850990 103 1136
17965 849851 84 1078
18085 852751 105 1129
18188 853392 88 1141
18298 849912 96 1071
18404 851818 90 1114
18521 852822 102 1131
18655 854157 120 1169
18777 851944 96 1122
18880 850537 88 1106
18992 852243 90 1120
19108 852568 101 1166
19211 854197 87 1102
19324 851548 98 1108
19426 852483 86 1105
19543 851132 102 1102
19646 852954 87 1117
19773 853647 108 1174
19876 852294 86 1124
19993 853132 103 1139
20110 853497 102 1163
20224 851569 100 1111
20331 853297 92 1181
20462 853296 116 1211
20568 854188 91 1152
20717 852705 126 1165
20846 852057 113 1225
20951 853331 89 1137
21072 854211 104 1200
21173 851014 87 1119
21307 854295 119 1221
21439 854862 112 1178
21548 853629 93 1177
21664 852992 101 1119
21768 854077 89 1136
21884 853515 100 1148
21983 850683 83 1071
22104 853614 106 1092
22208 850346 89 1115
22333 856534 110 1173
22439 853002 90 1143
22560 854252 106 1223
22659 851311 84 1099
22776 852539 102 1130
22887 853804 94 1140
23001 849325 97 1116
23106 853902 89 1120
23225 853457 100 1163
23323 851338 83 1074
23442 852085 97 1086
23555 854299 98 1178
23663 852423 90 1148
23775 853589 96 1148
23885 853758 94 1201
24006 855817 106 1193
24116 855497 95 1229
24231 854730 101 1155
24334 854861 87 1127
24450 853873 101 1156
24557 852643 92 1174
24685 854977 113 1243
24784 852019 84 1085
24915 854340 117 1128
25019 851919 89 1148
25138 853731 102 1168
25239 850586 86 1108
25358 853885 103 1187
25464 854408 91 1164
25585 852434 103 1157
25688 850779 88 1142
25801 852568 94 1126
25914 853132 98 1158
26025 853854 95 1188
26154 854571 113 1169
