fo time ls_time n_ls_moves
2685 8070082 2685 1713
5581 8061030 2689 1557
8610 8068420 2787 1607
11661 8065808 2804 1609
14833 8071911 2922 1681
17916 8068540 2835 1641
20971 8060873 2804 1604
24082 8063929 2868 1650
27093 8062157 2757 1586
30117 8067040 2775 1617
33287 8066629 2927 1680
36500 8077876 2955 1703
39751 8070649 3002 1739
43054 8068817 3050 1768
46189 8074128 2890 1673
49675 8070391 3246 1885
52801 8065036 2879 1589
55937 8063189 2893 1673
58855 8057329 2671 1525
61939 8065198 2837 1646
65130 8064910 2948 1709
68398 8070084 3018 1757
71560 8065065 2909 1675
74882 8071971 3079 1795
78092 8067241 2957 1690
80971 8059804 2629 1517
83925 8061643 2706 1554
87203 8071193 3033 1763
