fo time ls_time n_ls_moves
2614 8066525 2614 1667
5716 8072072 2900 1714
8797 8064818 2846 1666
12297 8073164 3258 1906
15349 8071077 2810 1628
18560 8071693 2966 1709
21424 8060299 2622 1509
24530 8070828 2864 1661
27727 8064471 2940 1712
30776 8058347 2804 1643
34087 8070286 3063 1780
37285 8072495 2946 1728
40674 8068256 3146 1810
43727 8063191 2806 1640
46574 8064168 2603 1492
49886 8073878 3066 1774
53034 8074227 2900 1684
56319 8070975 3043 1748
59540 8068568 2978 1707
62679 8073328 2890 1653
65817 8066496 2890 1672
69034 8069801 2964 1745
72517 8074128 3228 1885
75791 8070976 3026 1778
79078 8071872 3041 1789
82225 8068575 2902 1680
85486 8067216 3021 1752
