fo time ls_time n_ls_moves
125 856630 125 1702
271 858173 143 1785
371 857736 97 1773
523 856494 148 1846
674 857104 148 1799
800 856617 124 1843
946 858127 142 1770
1175 858391 225 1816
1312 856827 134 1819
1417 856031 102 1749
1608 855845 188 1735
1762 858365 151 1742
1907 856666 142 1820
2039 858244 129 1729
2231 860562 189 1856
2393 859771 159 1814
2536 858286 140 1765
2729 859303 189 1756
2848 857310 116 1762
2978 855545 127 1695
3143 856689 162 1738
3250 858603 104 1800
3387 856277 134 1804
3536 857680 146 1785
3666 858404 127 1754
3824 859994 154 1754
3949 858005 122 1775
4170 855823 218 1797
4311 856133 138 1735
4442 856263 127 1739
4583 853402 138 1707
4725 858028 140 1757
4860 858049 131 1845
4993 856008 130 1743
5125 856137 128 1728
5240 855484 111 1755
5362 852403 119 1701
5492 858059 127 1780
5630 858235 135 1765
5815 859318 182 1814
5956 858727 138 1854
6170 858743 211 1910
6313 858261 140 1799
6463 856221 147 1823
6623 858256 157 1836
6762 859455 136 1791
6902 857342 137 1910
7038 857726 134 1776
7256 859846 215 1879
7403 857843 144 1756
7549 855071 144 1736
7713 860580 161 1945
7857 858886 141 1784
8012 858894 152 1780
8132 856268 118 1746
8270 857216 135 1670
8449 860342 176 1800
8595 852626 143 1708
8726 857768 128 1777
8873 856593 144 1759
9041 857822 164 1742
9203 855423 159 1669
9345 857576 140 1767
9485 856130 136 1841
9611 858712 123 1751
9750 857734 136 1905
9909 856483 155 1762
10058 857319 147 1736
10215 857959 154 1796
10341 857574 123 1780
10575 857171 231 1836
10735 857525 157 1852
10911 856436 174 1750
11116 857170 201 1820
11299 855817 179 1793
11439 856145 137 1716
11672 855592 230 1769
11806 858078 131 1858
11949 856980 139 1822
12093 857530 141 1820
12279 859458 183 1809
12423 856462 141 1810
12574 855583 148 1738
12738 859129 161 1807
12871 857017 130 1750
12986 861302 112 1864
13110 856692 120 1715
13271 857194 159 1754
13392 857453 117 1856
13547 859793 152 1834
13718 857510 169 1787
13842 856004 121 1753
14008 857984 162 1806
14187 859798 176 1816
14307 855299 117 1740
14391 852789 81 1696
14527 857447 133 1733
14731 857413 200 1870
14883 859153 149 1876
14971 857958 85 1811
15125 857011 151 1716
15240 858734 111 1809
15385 856471 143 1705
15514 857890 126 1788
15656 859790 139 1767
15803 856329 144 1739
16012 858522 207 1861
16190 856894 175 1800
16322 854979 129 1685
16460 857102 135 1741
16613 857909 150 1851
16757 858531 140 1762
16859 859423 100 1777
17038 860332 176 1806
17191 857521 150 1779
17348 858476 154 1777
17549 861258 197 1843
17669 858995 117 1722
17863 857166 191 1796
18014 856098 148 1745
18151 857812 134 1682
18351 857738 197 1813
18470 860057 116 1851
18614 857057 141 1835
18767 856939 150 1788
18873 856045 103 1715
19028 858491 152 1768
19179 856484 148 1732
19284 858726 101 1784
19429 857054 142 1632
19591 857415 159 1804
19697 856333 102 1702
19903 858282 203 1920
20091 859017 185 1811
20264 859723 170 1774
20417 855884 150 1789
20528 855741 108 1793
20670 857641 139 1806
20858 859343 185 1915
20994 857794 133 1826
21108 857641 111 1860
21262 857517 151 1805
21424 856057 159 1648
21547 858556 120 1834
21688 860757 138 1801
21857 854490 166 1807
21967 856856 107 1744
22094 858431 124 1759
22214 857609 116 1785
22407 858381 190 1912
22561 859273 151 1876
22738 857635 173 1782
22869 858980 128 1813
23026 859995 154 1828
23146 857532 117 1759
23312 856778 163 1884
23465 858897 150 1810
23600 855161 132 1734
23736 860138 133 1796
23905 858752 166 1791
24047 854775 138 1759
