fo time ls_time n_ls_moves
7 203537 7 1062
17 202976 7 1074
27 203800 7 1013
36 202926 7 1056
46 202936 7 1033
55 201880 7 1047
65 202792 8 1100
77 203200 8 1093
91 203616 11 1041
102 204041 8 1049
112 203051 8 1081
122 203025 8 1071
132 203251 7 1043
142 203343 8 1065
153 203457 7 1079
163 203687 7 1069
173 203987 7 1070
182 203570 7 1051
192 201783 7 970
202 203775 8 1106
212 203843 7 1030
222 202646 8 1073
231 203152 7 1024
241 202170 7 986
251 204510 7 1071
261 202347 7 1070
271 204043 8 1059
282 202914 7 1052
297 203060 12 1077
308 202921 7 1075
318 203410 7 1044
328 203543 7 1033
338 202711 7 1053
347 202652 7 1034
357 202561 7 1067
367 203163 7 1058
376 202924 7 1023
386 203415 8 1076
396 202678 7 1052
406 203803 7 1063
416 203015 8 1067
426 203226 8 1048
436 204141 8 1072
446 202692 7 1022
456 203046 8 1054
465 202523 7 1018
476 201321 8 1011
486 203667 8 1065
504 202005 15 1023
517 202194 8 973
528 203610 8 1068
538 201865 7 1018
548 204621 8 1079
558 202615 7 1020
567 202403 7 1025
577 203843 7 1040
587 202933 7 1058
597 202905 7 1073
606 202937 7 1033
616 203663 7 1076
625 202654 7 1010
635 203562 7 1050
645 203966 7 1057
654 203520 7 1026
664 204146 7 1031
673 203497 7 1007
685 203868 9 1030
696 203183 9 1034
711 203645 10 991
721 202730 8 1051
731 203562 7 1092
741 202972 7 1056
751 202396 7 1039
762 203121 8 1098
772 202755 7 1034
781 203178 7 1096
791 203584 7 1031
801 202981 7 1026
811 203546 7 1088
822 203533 8 1072
832 202534 8 1064
842 204119 7 1046
852 204203 8 1045
861 203197 7 1020
871 202371 7 1037
883 204079 9 1023
893 202479 7 1006
906 202956 10 1023
916 203138 7 1050
926 203473 7 1071
935 203062 7 1008
945 203384 7 1093
955 204352 7 1049
964 203119 7 1011
974 202568 7 1008
983 203058 7 1077
994 203879 8 1046
1006 203569 9 1058
1026 202727 15 1105
1038 203720 9 1059
1050 203252 9 1044
