fo time ls_time n_ls_moves
399 861761 399 1201
760 861447 358 1112
1164 863541 400 1172
1552 862047 385 1106
1924 862902 368 1115
2296 863470 369 1109
2662 863125 363 1099
3033 864033 368 1113
3415 863173 379 1164
3794 861852 376 1149
4192 863957 395 1190
4585 865130 390 1197
4969 861777 381 1162
5372 864722 400 1204
5763 861740 388 1182
6138 861450 372 1136
6529 863479 388 1170
6922 863480 390 1190
7294 862142 369 1126
7640 860154 343 1058
8026 862276 383 1141
8417 862618 388 1185
8815 862612 394 1205
9206 862266 388 1159
9602 862911 394 1163
9999 863516 376 1154
10355 860155 353 1061
10725 864796 366 1137
11116 864224 388 1195
11500 862633 381 1167
11872 861158 368 1109
12274 864491 400 1222
12665 862826 388 1194
13042 860354 374 1127
13423 863360 378 1150
13812 862774 386 1178
14191 862861 376 1154
14558 862727 364 1096
14952 861126 391 1195
15318 863793 364 1118
15698 861811 376 1134
16082 864161 382 1165
16455 861854 369 1133
16823 862604 365 1145
17206 864439 380 1116
17610 864586 401 1226
17985 864967 372 1138
18385 865530 397 1191
18771 860846 384 1176
19134 861632 359 1106
19530 862718 392 1200
19910 862109 377 1141
20264 860674 352 1096
20640 863174 372 1136
21014 862299 372 1136
21409 864454 391 1184
21769 863708 357 1085
22184 863817 412 1219
22573 863182 385 1173
22947 861883 371 1141
23311 861139 361 1135
23672 862076 357 1078
24052 861285 378 1146
24452 863956 397 1219
24835 863322 380 1111
25213 863283 374 1147
25600 864937 385 1173
25997 863230 393 1210
26397 864114 397 1197
26758 862145 358 1106
27130 861912 369 1137
27510 865508 376 1138
27886 862518 373 1131
28256 864605 368 1130
28643 865322 384 1181
29027 863577 381 1153
29427 865620 395 1214
29810 862439 380 1168
30191 861781 377 1134
30574 862016 380 1159
30953 861855 376 1153
31337 862229 381 1170
31741 864103 401 1214
32132 863497 388 1183
32531 864401 396 1200
32919 863178 385 1164
33310 863796 388 1194
33704 864568 391 1193
34079 862398 371 1151
34468 862276 386 1172
34849 862747 378 1158
35228 864563 376 1159
35624 862516 393 1184
36003 863546 376 1145
36388 864703 382 1165
36779 862342 389 1169
37172 862980 390 1188
37542 862099 367 1151
37926 860851 381 1166
38317 862822 388 1168
38716 864673 396 1212
39117 864599 398 1207
39493 861808 373 1138
39871 862592 375 1106
40221 860061 347 1056
40584 860587 360 1114
40971 863367 384 1151
41335 862209 360 1114
41723 863138 385 1175
42116 862174 390 1161
42490 863434 371 1129
42892 864910 399 1225
43259 862883 364 1098
43642 865670 379 1173
44006 862025 361 1099
44400 860475 392 1206
44757 860083 354 1049
45127 863150 366 1118
45497 863773 368 1118
45879 862593 379 1170
46266 862636 384 1174
46667 863259 397 1214
47057 863102 387 1185
47444 864458 384 1142
47843 863624 396 1183
48220 861961 374 1149
48600 860719 377 1142
48994 865835 390 1199
49365 862933 369 1132
49757 864689 389 1182
50123 863000 361 1110
50493 864678 367 1118
50861 863988 365 1119
51222 860068 358 1090
51598 864479 374 1134
52026 865045 425 1324
52405 862769 376 1133
52792 865513 384 1189
53173 862525 376 1153
53546 863270 370 1128
53912 861178 363 1077
54293 864031 378 1148
54659 861839 363 1112
55034 860827 372 1123
55445 860209 408 1222
55803 862804 354 1102
56176 861718 370 1129
56588 863426 409 1231
56986 865246 395 1201
57369 861712 380 1165
57771 864642 399 1213
58171 865101 397 1216
58550 862409 376 1158
58941 862797 388 1188
59299 859600 355 1085
59644 862584 341 1066
60045 865027 398 1230
60451 863384 404 1234
60821 859838 366 1124
61186 863050 363 1096
61573 863940 383 1164
61943 862057 367 1129
62332 863206 386 1185
62705 861484 370 1099
63085 863032 376 1121
63448 862512 361 1094
63802 861343 351 1075
64182 863061 377 1135
64547 859689 362 1124
64920 863727 370 1119
65315 863463 392 1190
65696 860052 378 1128
66069 864907 370 1128
66464 863766 391 1194
66854 862349 387 1181
67231 862488 374 1145
67636 864624 401 1233
68014 862213 374 1139
68380 861371 363 1111
68761 863126 378 1159
69126 863906 362 1108
69493 864249 364 1088
69861 861025 366 1114
70227 860479 363 1082
70620 862090 390 1161
70972 860852 348 1055
71363 864078 388 1191
71740 861634 375 1158
72124 861188 381 1139
72490 862642 363 1124
72865 863654 372 1138
73254 863364 386 1165
73637 861597 379 1154
73996 862855 356 1086
74379 862550 380 1140
74723 860955 341 1037
75106 862965 379 1139
75476 863791 367 1131
75881 862317 402 1215
76249 862068 366 1110
76640 865217 388 1193
77030 862396 387 1175
77415 861585 381 1160
77802 863628 385 1165
78174 863070 369 1125
78553 863948 375 1130
78926 861128 370 1124
79308 862722 379 1153
79666 862547 355 1087
80042 861203 373 1119
80416 862165 371 1151
80779 860565 360 1109
81137 859437 355 1070
81524 862406 384 1158
81908 865249 381 1177
82286 863004 375 1138
82688 863377 398 1211
83051 862711 361 1106
83423 859701 368 1118
83785 861181 359 1082
84163 862295 374 1149
84541 861386 376 1144
84905 863577 360 1108
85289 864726 380 1152
