fo time ls_time n_ls_moves
2798 8063756 2798 1766
5773 8064558 2768 1613
9155 8069620 3148 1844
12080 8056052 2679 1524
15346 8061962 3018 1768
18354 8059458 2760 1562
21488 8067983 2879 1630
24735 8068418 2994 1717
27944 8062886 2952 1703
31105 8056083 2914 1704
34256 8058566 2903 1673
37414 8064038 2911 1677
40624 8071237 2963 1711
43871 8066706 2991 1715
47469 8071794 3344 1951
50617 8063792 2897 1651
53812 8063274 2949 1691
56852 8054855 2782 1584
60099 8068825 2992 1727
63281 8060258 2930 1676
66577 8070149 3041 1754
69875 8061540 3048 1750
73172 8070351 3044 1740
76289 8062012 2871 1646
79482 8060865 2941 1658
82629 8067450 2901 1673
85685 8071143 2803 1631
