fo time ls_time n_ls_moves
282 8073963 282 3167
603 8070737 279 2978
938 8070030 295 3126
1426 8067659 434 3074
1687 8065365 219 2998
2102 8063578 372 2969
2366 8070204 223 3082
2613 8068262 207 2839
3119 8077182 466 3246
3390 8065140 229 2728
3671 8075095 241 3057
3930 8059739 214 2763
4231 8068156 261 3001
4514 8066626 242 2909
4790 8068439 230 2921
5054 8074391 224 2999
5408 8066387 313 3093
5687 8065586 239 2973
5953 8066765 222 2942
6215 8069972 221 2830
6572 8069386 316 3094
6810 8065523 196 2820
7185 8069780 334 3253
7479 8071205 252 3088
7891 8073440 369 3188
8198 8067719 266 3089
8528 8072506 287 2971
8873 8074493 304 3169
9247 8071869 333 3029
9562 8070190 274 3121
9859 8071897 251 3000
10278 8075175 378 3174
10578 8071054 259 3106
10885 8062323 263 2847
11181 8075317 255 3126
11500 8065476 277 3032
11755 8072606 212 2996
12096 8065234 301 3095
12394 8065575 257 2959
12716 8067545 281 3004
13079 8070690 321 3142
13329 8067309 209 2963
13703 8067075 331 3055
14051 8069798 304 3016
14283 8077331 186 2968
14566 8065976 241 2926
14829 8071171 223 2991
15116 8069532 245 3085
15542 8072216 385 3243
15856 8071138 272 3051
16179 8078952 278 3130
16494 8067017 274 3131
16771 8067657 233 3152
17028 8069208 215 3023
17271 8066733 203 2802
17552 8071728 239 2980
17760 8062112 164 2733
18088 8066101 287 3053
18536 8077307 404 3333
18807 8072319 228 3087
19188 8067500 338 3160
19462 8071485 234 3065
19775 8075225 271 3083
20035 8067418 219 2954
20314 8067256 238 2909
20602 8072564 243 3053
20904 8066770 260 2965
21208 8070590 262 3046
21493 8071230 244 3084
21830 8074587 296 3101
22089 8063739 217 2814
22330 8076054 200 2909
22612 8067298 241 3011
22939 8067058 286 3027
23360 8069496 381 3154
23707 8075205 304 3241
24115 8078738 367 3086
24364 8072724 208 2801
24637 8063420 232 2844
24871 8069699 193 2957
25159 8076689 246 3276
25481 8065791 280 2954
25771 8066784 242 2919
26131 8072112 319 3171
26447 8059974 276 2904
26710 8067702 219 2889
27098 8068585 346 3105
27389 8076136 250 3080
27649 8072344 220 2885
27859 8063904 164 2836
28184 8075445 280 3151
28601 8069864 376 3077
28838 8064732 196 2915
29171 8069868 290 2973
29439 8072619 227 2993
29759 8073225 280 3133
29995 8071258 195 3100
30371 8067728 334 3123
30591 8057967 177 2661
30850 8068318 219 2907
31152 8066102 261 3012
31438 8073852 245 3068
31764 8064298 285 3010
32264 8067531 458 3100
32571 8070922 267 3115
32797 8066485 184 2949
33051 8058421 214 2888
33324 8060610 232 3129
33665 8079833 296 3043
33924 8067141 219 2878
34219 8063333 253 2856
34506 8070896 246 3128
34737 8067135 190 3004
35133 8068497 354 3006
35444 8068088 269 3179
35809 8074044 325 3211
36087 8068825 237 3058
36381 8066763 253 2907
36661 8063784 236 2913
36902 8072772 199 2918
37193 8066745 250 2975
37464 8072699 225 2994
37751 8063334 245 2997
37995 8061676 202 2926
38372 8071771 334 3177
38753 8074648 340 3172
39009 8070653 216 2884
39290 8071651 237 2960
39627 8072978 295 3125
39995 8072023 325 3062
40379 8071369 343 3161
40570 8067163 149 2719
40854 8064218 242 2928
41131 8070677 231 3030
41384 8063475 211 3022
41646 8067351 220 2950
41943 8065827 255 2893
42317 8069354 333 3221
42572 8068799 214 2890
42866 8071545 254 3044
43111 8065769 201 3020
43373 8071756 217 2911
43648 8066881 234 2935
43943 8066692 255 3141
44259 8070525 274 2997
44573 8070293 273 3093
44841 8070956 226 3019
45115 8073121 233 2926
45442 8068078 283 3093
45876 8078094 393 3341
46152 8068552 235 2987
46488 8073682 291 3061
46743 8066192 215 3086
47147 8067852 357 3101
47598 8069502 404 3160
47898 8071476 260 3014
48210 8060739 270 2854
48615 8079516 363 3483
48963 8065875 307 3042
49199 8071146 193 2849
49479 8072993 234 3075
49783 8064250 262 2903
49990 8061717 161 2709
50296 8065613 259 2918
50650 8064442 314 2916
50925 8068084 232 2883
51255 8058980 289 3064
51561 8075508 260 3161
52021 8079091 420 3237
52288 8064683 219 2911
52670 8073520 341 3197
52942 8069087 230 2982
53207 8056610 225 2966
53480 8069700 232 2877
53940 8070229 416 3141
54182 8069748 200 2923
54575 8071830 352 3106
54938 8068230 323 3091
55261 8077941 281 3199
55527 8067951 222 3018
55815 8072123 247 3024
56136 8069859 280 3139
56366 8069080 187 2928
56647 8068723 240 3002
56957 8066743 268 3093
57268 8069039 271 3142
57663 8071527 354 2990
57935 8061269 231 2954
58197 8073712 217 3027
58542 8073560 304 3083
58902 8064961 314 3011
59179 8072981 235 2998
59515 8073354 295 2884
59924 8071451 367 3285
60229 8063012 263 2883
60676 8071176 407 3041
60915 8069158 197 2894
61261 8071363 306 3067
61534 8065753 232 2902
61850 8070434 274 2929
62113 8073325 222 3071
62343 8066151 189 2915
62602 8071050 217 2964
62920 8072098 272 3101
63218 8074513 257 3120
63536 8073795 275 3097
