fo time ls_time n_ls_moves
16783 1618720 50 2005
16843 1620960 53 2050
16901 1622645 52 2083
16969 1628093 60 2169
17031 1622080 55 2066
17091 1622414 54 2153
17160 1624155 63 2200
17220 1624379 54 2125
17277 1620790 50 2027
17349 1624116 66 2188
17410 1622215 54 2079
17472 1621328 55 2122
17537 1619711 59 2100
17600 1621825 55 2098
17660 1622516 54 2162
17721 1622848 54 2117
17788 1625759 61 2181
17845 1622567 50 2027
17904 1623142 53 2170
17976 1621548 65 2105
18038 1622128 55 2198
18104 1625012 60 2225
18168 1623343 58 2113
18231 1624383 56 2189
18291 1625343 54 2132
18357 1625842 59 2143
18415 1622988 52 2100
18476 1624963 54 2113
18534 1621980 51 2034
18600 1626269 59 2211
18661 1624447 54 2076
18718 1622339 51 2084
18781 1625882 57 2118
18841 1627020 53 2136
18902 1626810 54 2092
18967 1623544 59 2023
19025 1621414 51 2131
19084 1620239 52 2042
19150 1627489 60 2242
19214 1626050 57 1966
19276 1621977 55 2097
19337 1626230 54 2151
19403 1620110 58 2175
19462 1621960 53 2110
19519 1621273 51 2030
19585 1625468 60 2124
19646 1621494 54 2078
19702 1624834 50 2100
19767 1625514 58 2241
19832 1621287 56 2090
19892 1624412 54 2116
19952 1621750 54 2129
20017 1623884 57 2129
20077 1621700 54 2077
20136 1621220 53 2124
20204 1626461 61 2165
20264 1623837 54 2079
20324 1623400 54 2122
20401 1627057 70 2362
20463 1624623 55 2172
20521 1623197 52 2120
20596 1624706 68 2203
20660 1622495 56 2156
20719 1625073 53 2136
20791 1624937 66 2217
20853 1624851 55 2153
20912 1618511 53 2137
20976 1625542 57 2217
21038 1622631 56 2031
21103 1623328 58 2063
21165 1622736 54 2076
21235 1624245 64 2171
21290 1621896 48 2014
21347 1620718 51 2123
21415 1622600 61 2078
21474 1621127 53 2096
21534 1627125 53 2143
21600 1622454 59 2049
21664 1621511 57 2183
21726 1622619 56 2152
21788 1619691 55 2101
21857 1621883 62 2202
21916 1621890 53 2113
21980 1623977 58 2168
22048 1626024 60 2161
22107 1621729 53 2046
22164 1623786 50 2071
22234 1626720 64 2211
22295 1621797 54 2025
22354 1625310 53 2201
22419 1622288 59 2083
22477 1622436 51 2060
22539 1623865 55 2136
22598 1621195 52 2051
22661 1621546 57 2067
22725 1623632 57 2194
22781 1619594 50 2041
22844 1618598 56 1986
22910 1621822 59 2207
22967 1625581 50 2120
23036 1627122 63 2126
23098 1623805 55 2066
23157 1624907 53 2158
23217 1621813 54 2018
23284 1621824 58 2125
23342 1624150 51 2061
23401 1621415 52 2125
23465 1622432 57 2103
23528 1625050 56 2279
23587 1621350 53 2087
23651 1625640 58 2146
23710 1626776 52 2069
23768 1624777 52 2127
23835 1622383 60 2125
23894 1619996 52 2014
23956 1624609 56 2136
24022 1625811 59 2257
24086 1622162 58 2152
24147 1626955 55 2140
24208 1624671 54 2054
24280 1628046 66 2323
24341 1625369 54 2089
24403 1623880 56 2204
24474 1620779 64 2055
24532 1622640 52 2093
24590 1622661 51 2061
24661 1627983 65 2171
24720 1621146 53 2052
24780 1625442 53 2108
24835 1621134 49 1951
24902 1626205 60 2119
24961 1623718 52 2048
25022 1621666 54 2134
25088 1617992 59 1959
25149 1624385 54 2215
25209 1622469 54 2155
25276 1624408 61 2115
25341 1624890 59 2218
25400 1626926 52 2155
25469 1618487 63 2191
25528 1623537 53 2158
25588 1622112 54 2109
25648 1623133 53 2098
25709 1620040 54 2075
25767 1623164 52 2055
25829 1625228 56 2116
25899 1626149 63 2152
25959 1622191 53 2118
26021 1624591 55 2130
26085 1624398 58 2153
26149 1624877 57 2196
26210 1622022 54 2200
26273 1623358 57 2053
26335 1622590 54 2073
26395 1620359 53 2119
26457 1625594 56 2171
26522 1622854 58 2100
26582 1625068 54 2053
26638 1619950 50 2046
26702 1621981 58 2085
26766 1625659 57 2240
26828 1624425 56 2209
26894 1626049 60 2156
26952 1621435 52 2012
27011 1622687 53 2109
27072 1627717 54 2216
27144 1625839 65 2273
27214 1622482 64 2231
27278 1624613 57 2110
27344 1624671 58 2151
27401 1623903 51 2030
27461 1624521 54 2188
27534 1623123 66 2264
27598 1626386 58 2262
27656 1623999 52 2090
27720 1622932 58 2047
27776 1620715 49 2001
27834 1623373 52 1999
27896 1620491 55 2063
27957 1622144 54 2087
28014 1623650 51 2082
28074 1620399 53 2091
28137 1622449 55 2045
28199 1622112 55 2110
28259 1623950 53 2140
28328 1625215 62 2166
28383 1623837 50 2070
28442 1625191 52 2122
28506 1621775 58 2062
28567 1620616 52 2036
28626 1619736 52 2055
28684 1624571 52 2032
28747 1620842 56 2063
28803 1623994 49 2006
28862 1624413 53 2130
28928 1620425 59 2046
28988 1620906 54 2099
29046 1622877 51 2093
29103 1624026 51 2032
29168 1621101 58 2138
29231 1623494 57 2186
29294 1624077 57 2200
29362 1625174 60 2151
29423 1623331 55 2185
29479 1621847 50 2058
29542 1621186 57 2053
29607 1625367 58 2303
29668 1622560 55 2082
29741 1623187 67 2206
29804 1622120 56 2225
29861 1618836 51 2027
29920 1621326 53 2035
29983 1624225 53 2140
30046 1620918 56 2169
