fo time ls_time n_ls_moves
50425 1602677 179 2090
50603 1602996 171 2187
50789 1604679 180 2113
50953 1603678 158 1983
51111 1602821 151 2125
51357 1602618 240 2113
51582 1604709 218 2158
51789 1602742 201 2076
52003 1602605 207 2124
52313 1605623 303 2200
52505 1603734 186 2184
52694 1604539 182 2137
52855 1605900 151 2125
53016 1601522 155 1999
53191 1603942 169 2160
53338 1604139 140 2068
53497 1603506 153 2054
53739 1606186 236 2185
53974 1604366 228 2143
54200 1606020 219 2138
54358 1604012 152 2086
54577 1605588 212 2102
54770 1602401 187 2160
54979 1603789 202 2155
55126 1602767 140 2148
55316 1605273 183 2115
55612 1603939 288 2204
55780 1603190 161 2119
55916 1600213 130 1977
56109 1604085 186 2100
56267 1601097 151 2082
56473 1602520 199 2144
56620 1604081 141 2012
56796 1602559 169 2001
57007 1602718 204 2179
57150 1609098 136 2240
57374 1607879 218 2269
57539 1605096 158 2085
57695 1604518 149 2170
57860 1605102 159 2150
58029 1603388 162 2122
58225 1603733 190 2211
58459 1606714 227 2190
58617 1603763 151 2063
58795 1604461 171 2149
59040 1599358 239 2064
59203 1604247 156 2054
59390 1602810 178 2144
59543 1600337 146 2045
59741 1606879 191 2077
59918 1603553 171 2110
60101 1608343 175 2167
60297 1603366 190 2073
60458 1605789 155 2150
60698 1601906 233 2056
60905 1603047 200 2071
61083 1606568 171 2188
61296 1604939 207 2278
61503 1607677 201 2226
61641 1602210 131 2019
61800 1602703 151 2033
61993 1602834 187 2041
62154 1599029 155 2061
62315 1605657 154 2181
62589 1606292 266 2229
62777 1606105 182 2146
63013 1608269 229 2279
63174 1601202 154 2056
63369 1604734 188 2110
63551 1603567 176 2015
63731 1604044 174 2040
63919 1601778 181 2077
64057 1601765 132 2091
64212 1607497 148 2131
64403 1601385 185 2111
64586 1601811 177 2083
64759 1602419 166 2124
64939 1604755 174 2102
65118 1604607 172 2108
65245 1601421 121 2049
65494 1603563 242 2224
65753 1603843 253 2080
66027 1603504 267 2206
66237 1603789 203 2082
66603 1601958 359 2150
66793 1601126 184 2180
66963 1601945 163 2098
67178 1604679 208 2163
67383 1603964 199 2192
67538 1603145 149 2089
67688 1604989 142 2099
67855 1603041 160 2206
68012 1604484 151 2073
68245 1605003 227 2124
68415 1606661 163 2147
68577 1603177 156 2166
68755 1605441 171 2111
68906 1598109 142 1995
69056 1602450 144 2073
69197 1602822 133 2103
69368 1601682 165 2144
69507 1604134 131 2057
69731 1604295 218 2126
69946 1606552 209 2119
70158 1608042 205 2179
70364 1607589 198 2211
70564 1606583 192 2230
70723 1601676 152 2053
70927 1605203 198 2277
71120 1605158 186 2032
71270 1601731 143 2104
71455 1604259 179 2035
71642 1604444 179 2080
71822 1604127 174 2092
71930 1600352 101 1940
72142 1603859 206 2155
72329 1603782 181 2143
72497 1605671 161 2136
72706 1601340 203 2107
72876 1601076 164 2054
73041 1605380 157 2117
73227 1607024 180 2184
73476 1607562 241 2213
73659 1605822 176 2151
73806 1602001 141 2132
73989 1604122 176 2090
74173 1606014 178 2156
74341 1602979 162 2133
74512 1602343 164 2115
74750 1602307 231 2075
74881 1602896 124 2084
75099 1602342 212 2067
75297 1604709 192 2172
75532 1603864 227 2133
75853 1607106 315 2178
76036 1605479 176 2098
76247 1607759 204 2141
76490 1603533 237 2114
76712 1606704 213 2251
76867 1599677 149 2075
77022 1604895 148 2123
77203 1599935 175 2091
77375 1605649 165 2166
77554 1602716 172 2115
77683 1604439 123 2037
77875 1604927 186 2159
78061 1605582 179 2132
78343 1603702 276 2150
78488 1605568 138 2082
78711 1602377 216 2084
78874 1606298 154 2073
79016 1601279 136 2028
79217 1602042 195 2064
79451 1607630 228 2292
79626 1606176 168 2147
79823 1604716 191 2082
80030 1602361 201 2191
