fo time ls_time n_ls_moves
445 25811471 445 3687
898 25804984 363 3320
1323 25805256 328 3501
1702 25811006 285 3530
2107 25808257 308 3498
2423 25805320 223 3342
2815 25802548 302 3246
3225 25798712 319 3389
3555 25798098 239 3300
3866 25815240 218 3439
4174 25797329 218 3247
4540 25802876 271 3264
4911 25805657 276 3525
5271 25812190 270 3589
5557 25802262 198 3229
5914 25807020 264 3521
6368 25811918 366 3847
6706 25801714 245 3331
7027 25802442 233 3394
7530 25815496 405 3605
7842 25800313 223 3268
8182 25805778 240 3335
8596 25806885 322 3534
8917 25818081 225 3473
9222 25805872 216 3444
9602 25797367 287 3202
9946 25806676 251 3338
10254 25803836 218 3234
10572 25806671 224 3307
10936 25818538 274 3513
11276 25809427 251 3421
11564 25791628 194 3165
11961 25798504 308 3612
12303 25813039 253 3373
12578 25806405 180 3227
12911 25802792 243 3464
13304 25806761 299 3608
13650 25811031 251 3249
14027 25812663 285 3360
14367 25802114 249 3393
14724 25808865 265 3554
15094 25809734 277 3397
15493 25810829 302 3406
15833 25809708 249 3306
16141 25814193 218 3495
16540 25803287 305 3381
16915 25808992 280 3335
17200 25799857 194 3171
17562 25801227 268 3379
17927 25814192 271 3515
18279 25800455 257 3620
18674 25801580 305 3256
18957 25806973 192 3067
19223 25802888 170 3125
19633 25814792 315 3335
19981 25814961 253 3403
20305 25799533 230 3171
20715 25808121 321 3400
21202 25812124 397 3815
21695 25805932 400 3665
22003 25798873 216 3237
22344 25818785 247 3695
22735 25799689 300 3293
23047 25816393 223 3546
23368 25807297 218 3178
23676 25808930 219 3412
24137 25819502 366 3688
24549 25810197 322 3594
24887 25811978 248 3473
25272 25801321 291 3438
25589 25808157 224 3292
26016 25801510 337 3320
26315 25798882 210 3169
26765 25804230 357 3552
27311 25807937 455 3735
27653 25805686 248 3404
28002 25802756 259 3376
28339 25808755 248 3214
28652 25811952 213 3511
29019 25806936 277 3723
29552 25802941 443 3697
30156 25813134 505 3502
30454 25804642 200 3333
30996 25816565 452 3719
31307 25802300 212 3328
31635 25801072 239 3291
31961 25798677 236 3472
32214 25796692 160 3211
32576 25806249 264 3548
32912 25805000 243 3499
33182 25795828 180 3156
33735 25813479 457 3671
34005 25807101 179 3295
34567 25815602 469 3699
34911 25814284 254 3507
35234 25807109 232 3294
35565 25811324 238 3433
35963 25805634 309 3550
36364 25816460 313 3561
36741 25810392 287 3598
37053 25800532 223 3071
37344 25803468 196 3308
37765 25808928 330 3438
38106 25814072 251 3522
38482 25807079 280 3307
38821 25812430 243 3341
39261 25803049 348 3292
39626 25806996 274 3325
40031 25809470 315 3211
40395 25800581 276 3368
40743 25805304 258 3485
41116 25808882 279 3654
41578 25806526 369 3597
42032 25811582 357 3584
42322 25812435 201 3269
42570 25802282 156 3144
42965 25816468 302 3610
43294 25806499 233 3354
43711 25807688 329 3478
44070 25812206 269 3424
44396 25806047 237 3223
44805 25812639 315 3610
45336 25815745 435 3677
45592 25798519 165 3040
45990 25813023 302 3623
46425 25807890 341 3565
46780 25806318 260 3380
47132 25808763 254 3410
47588 25813280 365 3439
47991 25809900 310 3302
48503 25814257 421 3527
48835 25802927 243 3296
49170 25811576 242 3461
49612 25813493 350 3588
50010 25814848 304 3515
50379 25804553 278 3395
50789 25809923 320 3605
51081 25806359 201 3358
51553 25821345 378 3620
51859 25801965 216 3173
52222 25809421 268 3382
52540 25796734 229 3288
52848 25801324 216 3204
53228 25805648 290 3282
53760 25816230 440 3827
54069 25809547 215 3333
54354 25799981 195 3183
54833 25808590 385 3512
55216 25805555 293 3331
55572 25810177 265 3492
55914 25808376 248 3598
56314 25806738 307 3581
56627 25806041 222 3314
56887 25801218 169 3127
57242 25801456 267 3307
57662 25806473 328 3412
57977 25805644 225 3492
58281 25798796 211 3317
58650 25812867 279 3392
58929 25802323 188 3305
59378 25812698 360 3375
59732 25812363 259 3200
60148 25813826 327 3601
60435 25808410 196 3286
60784 25799678 251 3194
61100 25803791 220 3264
61562 25810364 372 3746
61855 25813115 203 3456
62236 25808743 287 3538
62581 25807017 251 3407
62985 25816043 315 3509
63336 25805085 262 3234
63655 25806273 227 3374
63976 25820659 228 3362
64415 25807883 349 3621
64756 25801354 252 3158
65067 25792940 223 3242
65523 25807546 362 3707
65837 25806592 218 3119
66239 25807217 311 3642
66725 25811209 397 3429
67112 25810296 293 3334
67476 25806763 268 3718
67903 25811555 338 3644
68300 25809005 303 3350
68627 25796357 236 3191
68952 25808425 236 3342
69219 25807113 173 3135
69509 25802315 202 3270
69884 25811960 284 3528
70255 25795573 282 3206
70686 25798793 339 3507
70984 25804460 209 3287
71398 25809613 320 3726
71814 25812326 322 3607
72100 25805393 192 3171
72395 25801987 204 3369
72767 25811815 278 3583
73153 25806848 293 3473
73446 25809930 205 3363
74036 25813844 492 3618
74637 25811953 501 3548
75041 25814442 309 3551
75477 25812691 342 3840
75907 25804997 337 3499
76373 25812267 370 3682
76865 25818238 404 3816
77273 25816059 314 3466
77721 25803745 356 3437
78108 25810599 293 3504
78409 25802568 206 3377
78738 25799740 239 3204
79111 25815205 276 3640
79481 25808380 275 3475
79881 25812530 306 3531
80293 25805301 320 3554
80650 25810964 261 3329
81131 25807488 391 3352
81444 25801261 218 3452
81788 25804878 255 3466
82096 25798494 215 3077
82454 25817116 267 3477
82852 25812973 309 3607
83191 25808345 249 3478
83536 25812137 248 3439
83976 25807968 347 3597
84357 25805063 288 3462
84721 25811801 270 3618
85040 25802156 230 3316
