fo time ls_time n_ls_moves
689 1614552 689 1304
1387 1613922 691 1299
2139 1618268 745 1424
2852 1616472 707 1397
3538 1615243 679 1309
4199 1613994 652 1287
4914 1616441 709 1375
5585 1615980 665 1289
6296 1618908 702 1371
6966 1616891 663 1302
7626 1616170 653 1268
8314 1614792 682 1338
9035 1618129 714 1372
9706 1619018 664 1303
10394 1619708 682 1346
11082 1616895 681 1321
11755 1616471 666 1293
12442 1620172 680 1299
13169 1616214 720 1361
13864 1619349 688 1338
14535 1617807 665 1294
15260 1616776 719 1404
15956 1615595 689 1337
16631 1617003 668 1292
17353 1617111 715 1408
18003 1614358 642 1245
18689 1614507 680 1339
19339 1614728 643 1242
20085 1619111 740 1430
20780 1615904 688 1320
21437 1616767 651 1262
22106 1618187 662 1284
22781 1616506 669 1308
23517 1615714 729 1409
24280 1624034 757 1471
24980 1615683 693 1365
25625 1614271 639 1246
26281 1616634 650 1272
26974 1617333 687 1321
27651 1617402 670 1313
28296 1614211 638 1222
28979 1613683 677 1318
29647 1614838 661 1293
30345 1620438 692 1351
31047 1617659 695 1358
31730 1617514 677 1333
32409 1613470 673 1250
33121 1619616 705 1395
33757 1615003 629 1215
34474 1618178 711 1388
35150 1617959 670 1310
35828 1615571 671 1288
36542 1619127 707 1369
37215 1616406 666 1313
37932 1619509 711 1379
38627 1617460 689 1360
39306 1615800 673 1297
40010 1619152 698 1375
40677 1620407 660 1282
41382 1618825 698 1341
42071 1618151 682 1327
42769 1618716 692 1331
43449 1613249 673 1293
44095 1615526 640 1236
44782 1616159 680 1319
45501 1618821 712 1393
46152 1615203 644 1265
46844 1615575 686 1314
47572 1620856 721 1414
48268 1617387 689 1319
48933 1618999 659 1284
49612 1619015 672 1301
50285 1617525 667 1286
50972 1618628 680 1309
51683 1618434 704 1385
52388 1617957 698 1366
53079 1620715 684 1352
53780 1620670 695 1332
54453 1616471 667 1279
55114 1618872 654 1270
55806 1614988 684 1329
56503 1618525 690 1345
57190 1618832 681 1320
57870 1617227 672 1309
58515 1612047 639 1224
59196 1618430 674 1319
59916 1619381 711 1408
60623 1617406 700 1353
61344 1622182 713 1387
61982 1614725 632 1235
62638 1620400 650 1268
63297 1615799 651 1256
63983 1616893 679 1315
64694 1616325 705 1378
65373 1617036 672 1302
66074 1618557 695 1338
66781 1617093 701 1349
67414 1614638 627 1222
68079 1617246 658 1281
68754 1618093 668 1290
69413 1616785 653 1262
70082 1617999 662 1298
70766 1618923 678 1308
71457 1618604 684 1328
72166 1619340 703 1359
72935 1615899 762 1450
73582 1611633 640 1249
74251 1616310 663 1293
74939 1619640 681 1314
75625 1618106 679 1338
76354 1619208 723 1397
77026 1615738 665 1305
77700 1615024 668 1269
78412 1616663 705 1383
79131 1620115 712 1385
79838 1617560 700 1378
80549 1618659 705 1338
81247 1616130 691 1349
81925 1616850 672 1313
82604 1614749 672 1300
83289 1619627 679 1336
83973 1614000 677 1314
84701 1616336 719 1393
85365 1618351 658 1273
