fo time ls_time n_ls_moves
3267 213636 8 1141
3277 210911 7 1033
3288 211711 8 1087
3299 211479 8 1116
3309 211083 8 1072
3319 212332 8 1064
3329 210942 8 1069
3341 211942 8 1078
3352 212348 8 1096
3364 211824 9 1109
3375 211284 8 1091
3391 211296 13 1027
3402 212106 8 1059
3412 211853 8 1044
3423 212445 8 1117
3433 211822 7 1065
3444 213087 8 1068
3454 212100 7 1029
3466 210881 7 1035
3476 211908 8 1064
3487 212545 9 1113
3497 210877 8 1038
3508 211164 8 1025
3518 212432 8 1054
3529 212469 8 1065
3539 212046 8 1084
3550 211083 8 1063
3560 211525 8 1044
3573 211415 10 1117
3583 210782 8 1005
3598 211504 11 1065
3609 212174 8 1088
3620 212538 8 1062
3632 211103 10 1048
3645 212073 10 1102
3655 212156 8 1110
3666 211999 8 1085
3676 211766 8 1037
3687 211799 8 1084
3697 211894 7 1025
3707 211813 8 1046
3717 211535 8 1070
3727 211774 8 1044
3738 211925 8 1074
3748 212990 8 1105
3758 212027 7 1012
3768 210983 8 1022
3781 211592 9 1063
3791 212065 7 1013
3803 211529 10 1084
3816 212627 9 1073
3827 212444 8 1097
3840 211621 11 1061
3852 211004 10 1083
3863 212181 8 1079
3873 211979 7 1036
3884 211936 8 1095
3894 211182 8 1069
3904 211590 7 1047
3914 211580 8 1073
3925 210940 8 1079
3935 210673 7 1056
3945 210628 8 1082
3955 210801 8 1092
3966 210214 8 1056
3978 211354 10 1031
3992 211124 11 1069
4007 211327 11 1043
4018 212472 8 1103
4028 212009 8 1074
4040 211983 9 1058
4050 211865 7 1049
4061 211439 8 1121
4071 211235 8 1101
4081 210914 8 1066
4092 212403 8 1097
4102 212648 7 1057
4112 211395 8 1054
4122 212284 8 1101
4133 211966 8 1061
4143 212717 8 1115
4154 211513 8 1070
4164 211620 7 1020
4174 211671 8 1027
4186 211865 9 1093
4201 211381 12 1031
4213 212452 8 1052
4223 211674 7 1032
4234 212157 8 1079
4244 210948 8 1078
4256 211722 9 1065
4265 211197 7 1031
4276 212662 7 1042
4286 211394 8 1094
4296 212688 8 1086
4306 211922 7 1035
4317 212903 8 1087
4327 211384 8 1066
4338 213278 8 1140
4348 211493 8 1060
4359 211367 8 1105
4369 211270 8 1103
4380 211985 8 1049
4391 211987 7 1006
4407 211685 12 1065
4417 211883 7 1039
4427 211974 8 1021
4438 213450 8 1097
4448 212415 7 1016
4458 211587 8 1065
4468 211421 7 996
4478 211658 7 1033
4489 213201 8 1091
4499 211695 8 1091
4509 211313 7 1038
4520 212041 8 1079
4530 211723 8 1110
4541 212201 8 1085
4551 210778 8 1081
4561 211923 7 1048
4571 210295 8 1041
4582 211669 9 1071
4594 211669 8 1071
4608 212421 12 1036
4619 212434 8 1079
4629 211856 8 1064
4639 211310 7 1021
4650 212484 8 1047
4661 212956 9 1103
4672 211898 8 1060
4682 211495 8 1104
4693 211868 8 1103
4703 211090 8 1095
4714 211610 8 1093
4724 211399 8 1061
4734 210927 8 1060
4745 211344 8 1056
4755 212100 8 1076
4765 211773 8 1084
4775 211352 7 1040
4787 211918 9 1061
4799 211561 8 1092
4814 212623 11 1059
4825 213459 8 1121
4835 212390 8 1079
4846 210921 8 1055
4856 211872 8 1075
4868 211141 9 1078
4877 211830 7 1020
4888 211601 8 1091
4898 212240 8 1073
4908 212181 8 1060
4919 212683 8 1113
4929 211631 8 1055
4939 210418 8 1060
4950 212451 8 1054
4960 211401 8 1088
4970 212153 7 1033
4981 212078 8 1078
4993 211239 9 1086
5004 211922 9 1094
5019 212470 10 1084
5029 212039 8 1060
5040 212344 8 1087
5051 211943 8 1092
5061 211817 7 1009
5071 212192 7 1047
5081 212814 7 1010
5091 212515 8 1110
5101 210765 8 1072
5112 211504 8 1059
5122 211227 8 1044
5133 211685 8 1070
5143 212460 8 1061
5154 211944 8 1116
5164 211289 8 1127
5175 212490 8 1068
5185 211473 8 1073
5198 211861 10 1105
5213 211204 13 1062
5228 211477 9 1061
5238 210978 8 1038
5249 211425 8 1074
5259 211888 8 1041
5270 212164 8 1046
5280 212205 8 1038
5291 212111 8 1079
5302 212672 8 1118
5313 211879 8 1094
5324 211877 8 1099
5334 211966 8 1088
5345 212072 8 1102
5355 212665 7 1045
5365 211672 8 1079
5376 212985 8 1110
5386 212753 8 1055
5398 211728 9 1040
5408 211005 7 1034
5423 211789 11 1048
5434 211166 8 1057
5445 211743 8 1042
5456 212385 8 1077
5466 212044 8 1105
5478 211593 9 1098
5488 211679 8 1072
5499 212304 8 1094
5509 211966 8 1069
5520 211952 8 1100
5530 212160 8 1071
5540 212281 7 1047
5551 213116 8 1130
5561 212696 8 1060
5571 210980 8 1084
5582 211770 8 1083
5592 211777 8 1047
5604 211457 9 1003
5617 212505 11 1073
5630 211573 9 1095
5640 212576 8 1056
5651 211503 8 1049
5662 212254 8 1093
5672 211880 8 1062
5683 211781 8 1095
5693 211974 8 1078
5704 212569 8 1100
5714 211675 7 1033
5724 211571 8 1096
5734 212464 7 1047
5745 211936 8 1091
5756 212639 8 1085
5767 212376 8 1089
5777 212507 8 1051
5787 210871 8 1076
5797 211178 7 1039
5809 210616 9 1031
5823 211799 11 1109
5837 211785 9 1087
5847 211622 8 1045
5857 211413 8 1066
5868 212529 8 1074
