fo time ls_time n_ls_moves
334 1617073 334 2090
716 1617284 344 2131
1156 1620120 399 2179
1546 1620898 351 2162
1919 1619224 336 2155
2298 1617696 334 2128
2689 1622263 353 2155
3065 1617732 340 2098
3458 1621144 356 2202
3871 1615073 377 2136
4252 1619167 344 2135
4628 1616961 340 2098
5024 1619589 358 2264
5370 1614236 307 1914
5728 1618714 314 2033
6115 1618505 352 2196
6495 1616684 344 2068
6863 1618004 332 2054
7247 1622438 346 2166
7616 1618582 332 2121
8009 1617733 351 2221
8381 1618348 328 2104
8749 1619837 332 2056
9154 1621963 369 2249
9535 1619484 343 2120
9912 1620263 341 2122
10314 1619503 365 2243
10707 1620405 354 2148
11084 1620016 340 2154
11464 1616381 341 2099
11845 1619190 335 2055
12239 1620509 356 2224
12619 1619243 344 2124
13017 1622058 362 2261
13405 1620844 353 2137
13808 1622503 366 2266
14178 1619673 334 2073
14570 1622200 355 2147
14965 1619839 356 2232
15366 1620259 363 2137
15737 1620487 335 2148
16118 1618505 332 2118
16501 1620744 345 2134
16864 1619446 327 1998
17263 1619796 364 2213
17656 1618840 356 2163
18047 1617642 354 2222
18450 1619448 366 2238
18842 1620076 355 2205
19226 1618834 342 2090
19588 1617815 325 2120
19962 1618360 326 2062
20327 1618220 328 1982
20705 1618626 342 2126
21082 1615552 341 2075
21463 1621806 343 2136
21841 1620009 342 2166
22227 1620729 344 2212
22616 1617149 340 2191
23016 1619956 361 2221
23406 1616955 353 2253
23799 1621456 355 2149
24163 1614896 327 2011
24539 1618539 338 2100
24942 1624517 368 2247
25347 1621178 369 2305
25691 1615919 305 1963
26067 1618708 332 2105
26461 1619510 353 2094
26857 1617682 360 2138
27236 1616288 342 2107
27618 1621278 346 2105
28006 1617043 351 2177
28397 1616999 355 2186
28767 1618554 331 2039
29141 1613301 337 2096
29524 1617075 339 2174
29916 1621174 353 2204
30307 1615035 355 2136
30676 1616611 334 2062
31039 1617314 327 2007
31416 1616579 341 2120
31799 1619804 346 2132
32163 1617949 323 2071
32584 1622207 381 2236
33058 1620159 426 2106
33515 1616366 414 1984
33898 1617562 347 2074
34299 1620244 364 2138
34672 1617740 336 2089
35056 1622736 345 2147
35431 1619569 338 2158
35802 1619694 322 2036
36184 1616757 346 2097
36560 1617452 340 2092
36947 1616508 348 2082
37297 1615423 314 1967
37680 1618585 340 2114
38075 1619226 359 2204
38475 1621933 363 2189
38843 1618654 332 2060
39224 1615111 345 2086
39600 1616220 340 2108
39993 1620044 354 2146
40341 1613455 311 1977
40729 1618171 344 2201
41117 1620695 352 2153
41508 1619526 354 2158
41926 1619045 382 2222
42311 1619095 349 2149
42692 1619214 344 2061
43057 1616735 329 2056
43430 1620689 336 2102
43812 1619333 344 2192
44183 1618157 326 2104
44564 1618960 344 2152
44969 1619268 370 2264
45374 1623610 368 2257
45744 1617409 334 2061
46115 1619285 335 2105
46491 1617237 338 2040
46854 1617690 326 2066
47225 1617947 327 2090
47612 1617818 351 2189
48001 1620586 354 2158
48389 1622582 351 2186
48768 1619216 342 2104
49178 1619214 371 2191
49571 1620187 355 2149
49942 1617947 334 2097
50314 1619690 335 2139
50694 1615316 332 2134
51079 1618702 337 2124
51464 1617954 349 2157
51856 1615373 355 2169
52239 1617806 347 2119
52623 1623131 348 2185
53003 1616813 342 2075
53358 1618128 319 2033
53734 1618214 331 2149
54096 1616585 325 2009
54478 1618319 345 2095
54855 1619000 341 2111
55231 1618417 340 2137
55593 1615692 325 2098
55988 1614819 342 2051
56376 1618451 342 2120
56769 1617463 354 2157
57147 1614847 341 2075
57527 1617517 343 2139
57909 1617551 346 2126
58301 1617486 356 2215
58678 1616397 338 2057
59037 1616016 322 2032
59415 1618965 333 2145
59799 1621702 349 2107
60169 1615134 334 2053
60562 1620710 356 2248
60928 1616891 330 2026
61321 1617160 357 2107
61699 1618580 341 2152
62071 1618100 330 2115
62430 1614204 319 1994
62815 1617730 349 2077
63189 1620688 338 2122
63573 1618994 348 2160
63943 1612052 333 1953
64312 1620640 324 2057
64690 1617593 333 2131
65067 1620795 341 2069
65445 1618606 342 2083
65809 1617935 327 2037
66168 1617558 321 2009
66543 1617445 334 2120
66923 1621385 335 2151
67301 1618968 343 2076
67662 1617639 325 2006
68064 1617794 367 2193
68452 1618923 351 2202
68839 1616239 349 2113
69234 1616209 349 2081
69615 1618044 344 2189
69967 1612728 309 1960
70336 1616941 333 2053
70725 1618616 352 2142
71111 1617303 350 2146
71484 1618357 335 2054
71855 1614480 328 1951
72239 1624325 341 2199
72625 1617869 341 2205
72979 1613946 316 1945
73338 1616984 322 1956
73711 1615608 337 2090
74089 1619824 341 2161
74463 1617012 330 2085
74847 1617974 341 2128
75214 1615223 330 2008
75604 1619180 354 2099
75998 1617421 357 2178
76382 1619198 347 2181
76760 1613601 340 2111
77121 1617906 324 2043
77582 1616819 416 2061
78014 1618591 384 2114
78393 1621144 341 2074
78741 1617764 311 2010
79138 1619685 351 2146
79539 1618943 359 2235
79925 1619094 347 2095
80287 1614478 326 1982
80654 1617868 330 2076
81064 1621497 374 2298
81446 1619013 345 2121
81823 1617786 337 2153
82201 1618973 341 2199
82574 1616698 323 2048
82948 1618542 337 2078
83328 1617295 344 2130
83708 1617863 344 2065
84081 1621153 337 2101
84451 1617399 331 2153
84831 1620398 339 2173
85223 1618014 330 2094
