fo time ls_time n_ls_moves n_ls_moves2
1241 867581 1239 2053 14
2136 863599 892 1735 16
3218 866770 1078 1871 15
3818 864671 597 1810 7
4863 867754 1041 1879 16
5612 864726 746 1838 11
6327 864791 712 1860 7
6904 867141 574 1906 9
8146 863682 1239 1883 21
9087 864796 938 1798 12
9776 861397 686 1765 13
10767 865389 987 1778 17
11759 864183 989 1767 12
12595 863169 833 1832 10
13090 863323 491 1746 3
14043 863902 950 1838 17
14776 863671 731 1781 9
15801 864043 1021 1802 16
16485 863636 681 1757 9
17440 866869 952 1845 16
18337 864052 894 1851 14
19402 863660 1062 1823 16
20491 865695 1086 1835 18
21419 865450 925 1883 10
22541 865482 1119 1908 16
23680 866237 1137 1810 16
24320 863874 636 1802 7
25103 864790 780 1836 8
25934 866693 828 1823 12
26812 866280 874 1836 18
27513 864272 698 1829 11
28109 863434 593 1778 9
28937 866202 825 1868 13
30010 865661 1070 1908 19
