fo time ls_time n_ls_moves n_ls_moves2
1823 1630108 1822 2468 27
2990 1623500 1161 2169 20
4266 1624648 1270 2171 15
5302 1626056 1029 2261 16
5909 1625419 600 2087 7
6849 1624508 934 2230 12
7643 1624855 788 2136 8
8901 1625575 1251 2328 15
9731 1623748 823 2254 10
10446 1625561 708 2201 5
10986 1622993 534 2115 5
12096 1625722 1104 2060 16
12980 1625032 877 2120 10
13720 1624676 733 2214 7
14482 1627785 755 2121 10
15757 1622961 1268 2196 21
17003 1623060 1239 2152 14
18412 1625957 1401 2357 15
19348 1624552 930 2099 11
20321 1623094 965 2251 11
21345 1627392 1007 2232 13
22185 1624907 833 2168 10
23164 1625779 972 2231 12
24440 1626851 1269 2214 20
26390 1628549 1943 2420 29
27245 1626305 848 2197 10
28018 1621086 766 2033 12
28820 1623854 796 2241 10
29549 1626496 722 2187 8
30019 1623329 464 2133 4
