fo time ls_time n_ls_moves n_ls_moves2
276 203932 275 1088 4
543 202669 265 1007 4
902 203299 359 1061 7
1147 204019 244 1073 3
1527 204431 379 1116 9
1714 202775 187 1036 3
1968 202912 253 1070 3
2127 203774 157 1015 0
2419 203868 291 1054 4
2738 203839 319 1024 4
2957 203393 217 1033 3
3164 204146 207 1080 2
3443 203317 278 1044 2
3708 204783 264 1103 1
4048 203579 339 1066 5
4379 203521 330 1064 9
4571 202682 191 1068 2
4838 203185 266 1075 6
5141 205006 303 1091 5
5398 203646 256 1059 3
5626 203347 226 1052 1
5943 203061 317 1087 4
6249 203395 305 1074 6
6589 203330 339 1059 4
6863 204950 273 1051 5
7179 203211 314 1037 3
7507 203493 327 1064 4
7828 203415 319 1061 3
8128 204258 300 1059 4
8484 203421 356 1043 4
8972 203820 486 1078 6
9538 203020 565 1039 5
9896 202182 358 1071 9
10215 203314 318 1044 5
10544 202665 328 1062 5
10839 203675 294 1054 5
11190 203366 350 1048 6
11594 203641 403 1098 6
11812 202951 217 1030 4
12050 202845 238 1045 5
12418 202633 366 1031 7
12747 203195 329 1055 4
13153 203899 405 1054 7
13507 203754 353 1038 5
13838 202758 330 1101 7
14030 203749 191 1055 1
14338 202736 307 1077 5
14625 203765 286 1066 4
15002 203526 376 1063 4
15387 203048 384 1051 7
15687 204223 299 1105 4
15931 203888 243 1048 5
16238 203829 305 1036 3
16500 202926 262 999 6
16754 203203 253 1102 4
17088 203190 333 1061 6
17335 203606 246 1040 2
17695 203523 359 1034 5
17978 202918 282 1063 4
18225 203340 246 1026 3
18551 203605 325 1106 3
18902 203088 350 1040 4
19233 203679 330 1068 2
19860 203986 626 1100 12
20162 203906 302 1091 4
20377 203445 214 1076 1
20735 203984 357 1054 6
21017 203656 281 1060 2
21375 204457 357 1096 3
21858 203695 482 1026 6
22175 202485 315 1029 6
22421 203280 246 1088 3
22867 203611 445 1092 9
23167 203614 299 1075 3
23484 203444 316 1084 3
23732 204105 247 1097 5
23910 204092 177 1016 1
24338 204410 427 1059 5
24707 203644 368 1083 4
24997 203040 289 1042 4
25449 204450 451 1077 6
25712 203004 262 1018 4
26058 203795 345 1068 6
26354 202479 295 1066 4
26633 204256 278 1050 3
26896 203957 262 1068 3
27127 204731 230 1101 1
27399 204636 271 1065 5
27823 204401 423 1142 6
28090 202966 266 1026 5
28684 203768 593 1084 10
29075 204077 390 1093 7
29353 203480 277 1023 1
29920 202937 566 1058 5
30000 197043 79 888 0
