fo time ls_time n_ls_moves n_ls_moves2
750 858917 748 1859 14
1503 859547 750 1847 12
2336 860159 830 1911 9
3028 861011 689 1861 10
4098 860015 1066 1790 16
5329 860219 1228 1853 16
5973 859456 641 1803 4
6789 859571 813 1803 9
7526 859160 733 1869 9
8131 860688 602 1894 8
9292 856702 1159 1844 16
10245 860942 950 1870 10
11280 862171 1032 1934 12
11823 859185 539 1710 8
12272 861190 446 1861 2
13017 863346 742 1822 14
13448 859846 428 1797 6
14006 859131 555 1894 5
14916 857602 907 1848 17
15911 859137 992 1840 14
16605 858650 691 1862 9
17291 863748 683 1917 6
17982 862467 688 1922 10
18634 859833 648 1831 8
19906 862679 1269 1889 21
20577 860432 668 1793 8
21338 860780 757 1775 11
22601 861735 1260 1885 16
23695 860063 1090 1889 15
24229 857590 531 1816 7
24828 858904 596 1838 7
25613 860244 782 1859 9
26574 861301 957 1909 13
27289 860030 712 1839 8
28158 860735 866 1761 12
28849 858180 688 1800 8
30025 861421 1172 1871 15
