fo time ls_time n_ls_moves n_ls_moves2
1039 856219 1037 1826 13
1671 860314 629 1876 7
2238 856720 564 1871 6
2965 859681 724 1842 11
3960 858944 992 1927 12
4947 862061 984 2023 12
5521 859002 571 1852 10
6242 857590 718 1803 12
7497 862624 1251 2053 20
8040 860973 540 1868 3
8459 857267 415 1836 3
9227 859477 765 1726 13
9874 857019 644 1766 12
10431 858231 553 1887 6
11340 861310 907 1926 13
12182 859908 838 1787 11
12895 859888 711 1873 9
13559 859284 660 1840 8
14161 857820 599 1838 7
14952 857779 788 1726 8
15919 859502 964 1840 13
17059 860784 1137 1895 20
18505 859663 1443 1922 19
19190 860897 682 1919 8
19907 858223 714 1832 9
20670 860541 760 1857 10
21163 859047 489 1801 6
22099 857104 933 1803 17
22809 859095 707 1697 10
23455 858049 643 1776 11
24506 861800 1048 1956 13
25507 860577 998 1943 15
26291 861571 782 1886 8
26857 858613 563 1854 6
27329 858132 469 1842 4
28010 859186 677 1852 8
28759 858696 747 1816 9
29369 859387 606 1803 7
30006 856933 634 1862 10
