fo time ls_time n_ls_moves n_ls_moves2
1244 864324 1243 1916 24
1926 864297 678 1892 11
2678 867801 749 1929 9
3385 866538 704 1878 10
4125 863351 737 1850 10
4893 865666 765 1842 11
5714 866570 817 1891 15
6300 867359 582 1858 5
7315 865213 1012 1902 15
8112 864513 794 1792 14
8893 866577 777 1883 12
10208 866976 1312 1829 18
11069 866657 858 1901 12
11801 865929 729 1847 10
12762 865713 958 1927 13
13718 865126 952 1769 14
14601 866481 879 1931 12
15487 865453 884 1858 18
16414 865038 924 1900 14
16894 864547 477 1825 4
17454 864053 556 1886 7
18082 867209 625 1890 5
19115 867900 1030 1937 17
19914 864771 796 1907 13
20564 866796 647 1824 8
21423 866271 855 1893 14
22448 862391 1023 1916 16
23414 868136 963 1939 14
24741 864972 1323 1812 21
25625 866869 881 1872 14
26508 863265 880 1824 14
27512 864445 1001 1867 16
28682 865832 1166 1795 18
29601 869682 916 1934 12
29987 864249 382 1774 2
30000 739672 10 426 0
