fo time ls_time n_ls_moves n_ls_moves2
337 204079 336 1036 6
547 204225 208 1031 1
913 205813 365 1077 5
1442 204412 528 1032 6
1747 205232 304 1114 3
2137 205757 389 1085 8
2593 204497 455 1066 7
2894 205648 300 1080 4
3271 205768 376 1105 7
3558 205664 286 1087 4
3838 204916 279 1117 2
4127 205387 289 1078 6
4370 206195 242 1029 4
4560 204916 189 1115 1
4882 203946 321 1133 5
5236 205151 353 1065 6
5613 204907 342 1042 8
5922 204941 308 1077 4
6363 205329 440 1116 8
6674 206514 311 1157 5
6916 204309 240 1056 1
7125 205112 208 1055 1
7567 204821 441 1061 5
8184 204738 616 1072 9
8767 205796 582 1092 5
9074 205736 306 1046 5
9452 204899 376 1061 5
9617 204407 164 1097 0
10096 204810 478 1100 7
10344 204911 247 1101 3
10780 205148 435 1045 5
11255 204155 474 1072 7
11640 205823 385 1108 5
11927 204527 286 1067 3
12369 204791 441 1042 4
12800 204347 430 1032 6
13248 205633 448 1082 4
13737 205279 488 1089 10
14035 205462 297 1129 5
14424 204921 388 1080 6
14830 204723 406 1089 8
15249 205168 418 1063 8
15596 204350 346 1148 4
15972 204873 376 1057 7
16268 205526 295 1055 3
16452 205345 183 1073 2
16798 205917 345 1083 5
17190 205220 391 1042 7
17628 204780 437 1068 7
18030 204990 401 1127 6
18314 205321 282 1034 4
18845 205186 530 1063 8
19379 204554 533 1070 10
19747 205307 367 1056 5
20087 205438 340 1085 7
20420 204988 332 1096 3
20713 204639 292 1094 5
21061 205387 347 1128 4
21328 204755 266 1004 3
21614 204135 285 1034 5
21909 204333 292 1066 4
22274 205022 364 1078 6
22553 205225 278 1046 4
22772 205676 219 1054 2
23044 204046 271 1030 3
23411 204012 366 1074 6
23720 204949 308 1076 4
24172 205067 450 1105 8
24516 204835 344 1054 4
24904 204330 387 1100 4
25799 205631 894 1097 8
26210 204173 411 1063 7
26489 204866 278 1093 4
26858 204813 367 1086 5
27213 204619 355 1052 4
27481 204924 266 1098 5
27672 206048 190 1109 1
27898 205710 225 1054 2
28291 204085 392 1099 6
28625 204912 332 1092 6
28951 204884 325 1045 7
29259 204505 307 1076 6
29523 204601 263 1068 4
29854 205087 331 1068 7
30006 204959 151 1088 1
