fo time ls_time n_ls_moves n_ls_moves2
1112 1627833 1110 2293 8
1855 1628391 735 2247 5
3070 1624767 1208 2185 14
3879 1626367 802 2314 7
4970 1625511 1085 2353 12
5839 1623747 862 2070 8
7246 1624340 1399 2178 9
8091 1624048 838 2150 9
9161 1628535 1064 2205 15
9877 1627388 709 2120 7
10451 1625655 567 2133 7
11792 1627028 1334 2239 16
12787 1624345 986 2274 9
13715 1628493 922 2270 8
14909 1624049 1187 2280 12
16217 1626803 1301 2254 14
17232 1624716 1008 2176 13
18803 1627736 1565 2271 17
19952 1627495 1142 2330 11
21508 1626419 1549 2163 14
23033 1626424 1501 2260 22
24533 1627199 1494 2331 21
25351 1627909 812 2245 9
26172 1624552 814 2081 7
27458 1627773 1280 2248 16
28413 1625657 947 2215 10
29476 1627766 1054 2241 10
30008 1623026 525 2151 4
