fo time ls_time n_ls_moves n_ls_moves2
435 25757925 435 3380 0
948 25758871 423 3300 0
1591 25759755 548 3429 0
2009 25758951 322 3261 0
2553 25758847 439 3249 0
2905 25759163 259 3156 0
3320 25761711 321 3217 0
3707 25763323 287 3428 0
4099 25760357 294 3445 0
4511 25756448 322 3320 0
4989 25766369 385 3578 0
5355 25773517 251 3301 0
5846 25754661 398 3454 0
6227 25756810 289 3150 0
6726 25763773 409 3544 0
7318 25768291 498 3724 0
7758 25757323 351 3374 0
8150 25753613 298 3176 0
8522 25761465 284 3172 0
9036 25763749 422 3477 0
9524 25754639 397 3294 0
10084 25749996 464 3160 0
10536 25758396 361 3447 0
10966 25757178 336 3372 0
11329 25761242 270 3275 0
11726 25766289 308 3273 0
12283 25767178 467 3502 0
12632 25754026 256 3105 0
13100 25756491 378 3113 0
13488 25762614 298 3372 0
13859 25756789 282 3356 0
14366 25754086 417 3340 0
14893 25752285 438 3351 0
15367 25760861 379 3468 0
15818 25757476 361 3302 0
16184 25766010 276 3404 0
16569 25761976 293 3246 0
16950 25757158 284 3495 0
17341 25756654 301 3399 0
17730 25757293 299 3239 0
18158 25759055 336 3263 0
18622 25759465 371 3453 0
19053 25761050 341 3333 0
19552 25765060 409 3699 0
20044 25754602 399 3418 0
20445 25762553 307 3351 0
20878 25757006 335 3249 0
21312 25762672 339 3346 0
21699 25762051 293 3304 0
22225 25757503 429 3506 0
22696 25752732 380 3407 0
23152 25756258 367 3450 0
23537 25755947 294 3262 0
24133 25765675 506 3847 0
24633 25754213 406 3277 0
25118 25760571 394 3327 0
25923 25769020 713 3829 0
26467 25764915 451 3413 0
26851 25756038 291 3349 0
27327 25765338 375 3572 0
27747 25760439 324 3316 0
28143 25760925 303 3405 0
28566 25760938 327 3324 0
28929 25756596 269 3264 0
29389 25759548 370 3434 0
30003 25760944 522 3565 0
