fo time ls_time n_ls_moves n_ls_moves2
475 25808316 475 3749 0
969 25813109 405 3276 0
1560 25810784 494 3669 0
2245 25813807 593 3393 0
2669 25806100 327 3394 0
3084 25809664 319 3383 0
3511 25811880 333 3291 0
4142 25809666 541 3549 0
5349 25816707 1111 3462 0
5883 25812910 432 3327 0
6890 25813746 902 3521 0
7410 25805891 423 3436 0
7749 25803863 243 3088 0
8182 25804095 342 3222 0
8674 25807202 402 3369 0
9070 25807726 304 3311 0
9460 25810056 297 3235 0
10165 25808032 616 3457 0
10792 25815898 531 3582 0
11315 25810744 427 3509 0
11665 25797450 259 3043 0
12225 25804611 460 3536 0
12796 25804824 476 3367 0
13441 25807941 549 3358 0
13947 25812523 416 3674 0
14411 25797833 371 3305 0
15044 25810884 534 3179 0
15593 25808263 451 3430 0
15991 25804146 305 3343 0
16402 25803467 320 3555 0
16804 25805082 313 3500 0
17308 25805206 414 3464 0
17689 25806105 288 3436 0
18142 25802645 352 3225 0
19225 25806947 871 3410 0
19965 25807683 620 3484 0
20675 25814477 609 3403 0
21531 25806350 762 3639 0
22021 25804904 394 3382 0
22468 25811895 348 3700 0
23047 25820680 486 3435 0
23440 25804618 305 3130 0
23762 25809879 227 3223 0
24227 25801039 369 3368 0
24727 25797431 409 3383 0
25208 25794811 392 3311 0
25643 25812787 337 3362 0
26187 25808155 442 3584 0
26654 25799537 377 3281 0
27273 25796421 517 3144 0
27908 25814383 520 3662 0
28706 25809466 707 3846 0
29231 25813248 431 3613 0
29723 25805388 394 3483 0
30001 25805342 186 3129 0
