fo time ls_time n_ls_moves n_ls_moves2
1049 1607617 1048 2173 12
2623 1605632 1566 2273 19
4121 1609312 1492 2177 21
5619 1608569 1492 2270 26
7200 1607155 1574 2176 11
8449 1604903 1243 2198 15
9869 1608430 1413 2255 15
11536 1607853 1660 2190 16
12661 1605386 1118 2120 9
13803 1608698 1135 2318 10
14456 1599507 647 2084 3
15532 1608403 1069 2243 9
17457 1607722 1918 2411 15
18158 1607849 695 2249 6
19199 1608164 1034 2327 11
20147 1606140 941 2185 8
21656 1607470 1502 2249 21
22430 1602906 768 2161 8
23262 1606587 825 2159 10
25328 1604922 2060 2260 29
26855 1608784 1520 2325 22
27822 1608323 961 2252 13
29104 1605667 1275 2153 16
30044 1607888 933 2210 12
