!Experiment Random Multi Start Time Limit 30[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
1000 1 1 basic first_move 30.000000 215 210176 208491.595349 760.785010 1058.720930 31.776345 0.000000 0.000000 0.000000
1000 1 1 basic(order2) first_move 30.001000 86 210187 209038.767442 555.228461 1078.162791 27.357606 0.000000 5.093023 1.965116
1000 1 2 basic first_move 30.000000 207 206079 204430.888889 2774.313355 1055.217391 52.660485 0.000000 0.000000 0.000000
1000 1 2 basic(order2) first_move 30.006000 85 206514 204998.070588 552.768982 1076.105882 29.258291 0.000000 5.000000 1.835294
1000 1 3 basic first_move 30.000000 233 204650 203189.957082 1274.103090 1049.562232 38.192046 0.000000 0.000000 0.000000
1000 1 3 basic(order2) first_move 30.000000 95 205006 203484.747368 878.591480 1059.968421 31.687438 0.000000 4.400000 2.021053
1000 1 4 basic first_move 30.000000 195 213649 211838.071795 697.134108 1071.666667 30.258488 0.000000 0.000000 0.000000
1000 1 4 basic(order2) first_move 30.000000 85 213473 212167.105882 592.253821 1085.541176 28.967143 0.000000 4.541176 2.223529
1000 1 5 basic first_move 30.000000 230 211565 209636.091304 5127.848932 1059.013043 71.995017 0.000000 0.000000 0.000000
1000 1 5 basic(order2) first_move 30.012000 91 211464 210336.142857 570.607515 1078.692308 32.489624 0.000000 5.010989 1.758242
1000 5 1 basic first_move 30.000000 128 858342 853971.453125 1790.496295 1773.750000 59.747908 0.000000 0.000000 0.000000
1000 5 1 basic(order2) first_move 30.008000 34 858115 856004.205882 1246.340992 1840.647059 52.475699 0.000000 11.058824 7.588235
1000 5 2 basic first_move 30.000000 128 861793 858318.289063 3578.074961 1783.835938 80.348147 0.000000 0.000000 0.000000
1000 5 2 basic(order2) first_move 30.025000 37 863748 860183.432432 1537.984036 1847.729730 48.232348 0.000000 10.648649 7.567568
1000 5 3 basic first_move 30.000000 139 866792 863706.805755 1636.132375 1774.971223 54.802450 0.000000 0.000000 0.000000
1000 5 3 basic(order2) first_move 30.000000 36 869682 862240.055556 20772.820719 1831.000000 242.065648 0.000000 12.277778 7.250000
1000 5 4 basic first_move 30.010000 144 866732 863140.979167 1428.384317 1771.312500 55.074882 0.000000 0.000000 0.000000
1000 5 4 basic(order2) first_move 30.010000 34 867754 864908.088235 1441.749802 1833.352941 59.688841 0.000000 12.852941 6.588235
1000 5 5 basic first_move 30.000000 144 860732 857044.104167 3181.786801 1770.493056 78.309127 0.000000 0.000000 0.000000
1000 5 5 basic(order2) first_move 30.006000 39 862624 859228.487179 1572.882474 1853.897436 71.856622 0.000000 10.230769 7.256410
1000 10 1 basic first_move 30.000000 106 1609855 1604205.603774 2116.261913 2116.471698 72.842063 0.000000 0.000000 0.000000
1000 10 1 basic(order2) first_move 30.044000 24 1609312 1606828.625000 2164.633741 2225.750000 73.036663 0.000000 14.041667 13.916667
1000 10 2 basic first_move 30.000000 107 1628761 1623773.981308 1942.246618 2132.401869 73.624440 0.000000 0.000000 0.000000
1000 10 2 basic(order2) first_move 30.008000 28 1628535 1626213.285714 1624.904522 2224.178571 73.332440 0.000000 11.214286 15.607143
1000 10 3 basic first_move 30.000000 126 1628480 1622341.944444 5340.611992 2095.817460 107.354435 0.000000 0.000000 0.000000
1000 10 3 basic(order2) first_move 30.019000 30 1630108 1625145.266667 1847.574535 2201.533333 96.543162 0.000000 12.766667 13.400000
1000 10 4 basic first_move 30.000000 111 1623657 1618495.873874 3030.131562 2128.729730 85.152322 0.000000 0.000000 0.000000
1000 10 4 basic(order2) first_move 30.007000 27 1624521 1620910.444444 2021.804682 2215.222222 73.205107 0.000000 13.000000 12.888889
1000 10 5 basic first_move 30.002000 97 1622778 1618254.402062 2048.778820 2129.855670 70.037396 0.000000 0.000000 0.000000
1000 10 5 basic(order2) first_move 30.006000 25 1623760 1619793.560000 1913.836964 2206.680000 78.780058 0.000000 13.400000 15.120000
1000 50 1 basic first_move 30.004000 81 8078180 8069146.728395 4448.222678 2984.135802 120.318687 0.000000 0.000000 0.000000
1000 50 1 basic(order2) first_move 30.106000 13 8081307 8073514.000000 4706.439811 3147.538462 151.454799 0.000000 11.153846 100.076923
1000 50 2 basic first_move 30.003000 65 8075184 8068661.430769 4142.228641 3029.630769 111.969167 0.000000 0.000000 0.000000
1000 50 2 basic(order2) first_move 30.042000 13 8074676 8070467.076923 4713.705850 3067.153846 156.175861 0.000000 11.923077 106.230769
1000 50 3 basic first_move 30.000000 86 8074928 8064823.139535 4745.207413 2989.209302 130.456632 0.000000 0.000000 0.000000
1000 50 3 basic(order2) first_move 30.000000 16 8074305 8065361.312500 6399.744465 3046.187500 141.388303 0.000000 8.687500 106.250000
1000 50 4 basic first_move 30.002000 60 8077253 8069949.800000 4000.200419 3045.750000 118.957923 0.000000 0.000000 0.000000
1000 50 4 basic(order2) first_move 30.065000 13 8073911 8070863.307692 2492.670158 3142.384615 154.930525 0.000000 11.000000 91.307692
1000 50 5 basic first_move 30.000000 67 8075990 8064654.268657 5881.794418 2987.283582 149.152312 0.000000 0.000000 0.000000
1000 50 5 basic(order2) first_move 30.000000 12 8077547 8069707.666667 6445.338708 3168.833333 167.279125 0.000000 13.000000 86.833333
1000 100 1 basic first_move 30.006000 59 25773541 25759933.254237 5094.665912 3379.694915 161.842490 0.000000 0.000000 0.000000
1000 100 1 basic(order2) first_move 30.106000 10 25767637 25761376.800000 4626.397383 3548.100000 236.526299 0.000000 6.800000 309.000000
1000 100 2 basic first_move 30.003000 66 25773517 25759767.772727 4455.252420 3372.893939 150.546593 0.000000 0.000000 0.000000
1000 100 2 basic(order2) first_move 30.066000 8 25769794 25762219.500000 4468.745014 3496.250000 104.003305 0.000000 7.875000 333.250000
1000 100 3 basic first_move 30.001000 61 25806177 25795284.196721 5334.030383 3388.049180 180.657036 0.000000 0.000000 0.000000
1000 100 3 basic(order2) first_move 30.000000 8 25807747 25799221.750000 5372.333385 3534.125000 196.234195 0.000000 9.125000 283.500000
1000 100 4 basic first_move 30.001000 55 25820680 25807574.854545 5341.216669 3411.090909 171.050899 0.000000 0.000000 0.000000
1000 100 4 basic(order2) first_move 30.593000 8 25816153 25807935.875000 4700.149851 3551.750000 117.153478 0.000000 8.875000 300.625000
1000 100 5 basic first_move 30.000000 54 25779992 25758332.462963 47672.598096 3398.037037 411.567733 0.000000 0.000000 0.000000
1000 100 5 basic(order2) first_move 30.644000 8 25771710 25764935.125000 3675.409586 3502.875000 235.975866 0.000000 8.250000 312.250000
Total Experiment time[s] = 1546
