fo time ls_time n_ls_moves n_ls_moves2
274 8067286 274 3035 0
690 8061331 375 2978 0
1217 8064390 475 3084 0
1602 8066509 342 3133 0
2132 8069583 488 3038 0
2402 8061960 229 2783 0
2791 8064967 348 2969 0
3199 8064785 366 2952 0
3693 8067649 451 3226 0
4373 8067022 638 3057 0
4778 8057624 350 2773 0
5295 8072378 471 3157 0
5740 8066947 404 3071 0
6102 8069112 320 3005 0
6569 8066779 425 3217 0
6931 8073843 321 3127 0
7359 8067702 386 2918 0
7867 8070265 467 3149 0
8223 8067905 310 3094 0
8609 8065330 346 2981 0
8894 8064526 243 3007 0
9235 8069807 296 3217 0
9603 8061613 328 3048 0
10299 8075133 654 2769 0
11294 8062770 921 3190 0
11847 8062849 503 2897 0
12566 8069959 670 3076 0
13312 8075990 697 3139 0
13743 8058281 385 2916 0
14418 8071569 633 3355 0
14760 8052018 299 2762 0
15192 8065932 390 3117 0
15652 8070803 419 2997 0
15941 8053714 247 2777 0
16295 8064660 306 2928 0
16657 8060560 321 2933 0
17012 8060333 313 2966 0
17326 8062055 272 2896 0
17714 8055083 345 2927 0
18073 8072679 319 3016 0
18791 8073393 675 3296 0
19096 8060183 262 2937 0
19663 8064863 525 3037 0
20047 8063554 339 2994 0
20411 8061910 323 2938 0
20698 8058766 246 2792 0
21064 8067552 325 3056 0
21451 8062109 345 2836 0
21917 8052476 423 2672 0
22381 8065157 423 2974 0
22753 8069109 331 2979 0
23130 8053296 335 2924 0
23685 8066144 506 3175 0
24078 8064231 348 2972 0
24413 8068158 293 3030 0
24733 8069599 278 3043 0
24994 8058683 217 2775 0
25448 8062411 412 3022 0
25932 8060760 439 3046 0
26437 8060024 463 2876 0
27173 8072185 666 3111 0
27566 8063715 352 2883 0
27917 8070026 309 2961 0
28451 8072307 487 2997 0
29146 8063061 654 2834 0
29806 8056474 605 2811 0
30000 8047989 144 2497 0
