fo time ls_time n_ls_moves n_ls_moves2
1678 1623189 1675 2217 25
2874 1621930 1188 2162 14
3935 1621310 1053 2192 12
5019 1620421 1078 2198 11
6114 1622000 1088 2228 12
8097 1623404 1977 2354 24
9076 1621300 972 2165 11
10009 1623493 926 2305 9
11319 1620880 1304 2216 15
12272 1621083 946 2230 10
13326 1620846 1048 2259 14
14926 1623329 1593 2415 17
16202 1620991 1269 2232 16
17526 1618784 1317 2185 17
18143 1622678 611 2169 5
19430 1621017 1280 2294 18
20612 1618292 1175 2221 11
21380 1616392 762 2143 11
22233 1620530 846 2127 12
22852 1616721 602 2107 7
23970 1621791 1111 2199 12
24748 1621370 772 2144 9
26254 1617376 1499 2230 19
27582 1624521 1321 2282 20
28733 1621154 1145 2291 11
29473 1620971 734 2154 6
30007 1618809 527 2092 3
