fo time ls_time n_ls_moves n_ls_moves2
477 208037 477 1098 0
622 209313 142 1126 0
809 208598 187 1075 0
993 207465 183 1029 0
1122 208771 129 1068 0
1259 208179 135 1108 0
1424 208716 165 1083 0
1588 208392 162 1117 0
1688 206818 99 1056 0
1827 208829 138 1061 0
1987 210176 160 1155 0
2097 208818 108 999 0
2276 208435 179 1080 0
2381 208224 104 1025 0
2550 209103 168 1102 0
2672 208372 121 1024 0
2803 208327 130 1058 0
2921 208443 117 1043 0
3035 208564 113 1086 0
3173 209688 137 1099 0
3418 208476 244 1053 0
3563 208442 144 1039 0
3704 209804 141 1088 0
3867 208716 162 1056 0
4024 208268 156 1071 0
4167 208060 142 1037 0
4268 208816 100 1026 0
4383 208204 114 1051 0
4504 209437 120 1050 0
4630 208221 125 1059 0
4752 209291 121 1051 0
4991 208061 238 1023 0
5103 208567 111 1054 0
5259 208395 155 1034 0
5386 208870 126 1067 0
5532 207880 145 1063 0
5664 208634 131 1048 0
5759 208274 94 1038 0
5884 209092 124 1068 0
5989 208763 105 1082 0
6116 208299 126 1037 0
6262 207853 145 1049 0
6377 208830 115 1105 0
6497 208217 119 1039 0
6586 208872 88 1049 0
6713 207253 125 1033 0
6842 208061 128 1028 0
6959 208535 116 1057 0
7072 208804 112 1059 0
7207 208987 134 1052 0
7350 208174 143 1071 0
7455 207789 104 1068 0
7566 208079 110 1050 0
7680 208668 113 1061 0
7824 208592 143 1030 0
7932 207816 107 1071 0
8064 208774 132 1043 0
8193 207044 128 1068 0
8308 208634 114 1068 0
8428 207912 119 1029 0
8535 208861 107 1070 0
8647 208633 111 1076 0
8772 207966 124 1050 0
8908 209086 135 1094 0
9016 209329 107 1043 0
9142 208391 125 1072 0
9240 207878 97 1065 0
9371 207939 130 1033 0
9502 209038 130 1070 0
9606 208386 104 1063 0
9732 207922 125 1052 0
9837 208182 104 1043 0
10012 209181 174 1115 0
10144 208007 131 1009 0
10270 209001 126 1068 0
10420 208631 148 1074 0
10515 208014 95 1080 0
10672 209451 156 1089 0
10797 208944 124 1047 0
10914 208747 116 1041 0
11023 208183 108 1040 0
11134 208819 110 1069 0
11267 207404 133 1031 0
11462 209765 194 1061 0
11610 208543 147 1083 0
11794 208460 182 1081 0
11930 208756 135 1027 0
12057 208806 127 1008 0
12154 208407 95 1061 0
12312 207993 157 1060 0
12425 209303 112 1077 0
12566 208545 141 1073 0
12684 209958 117 1061 0
12777 209307 91 1059 0
12934 209737 140 1104 0
13043 208266 108 1036 0
13175 207200 131 1074 0
13279 208253 103 1060 0
13401 208783 120 1022 0
13534 208873 133 1090 0
13655 208648 120 1058 0
13783 208366 127 1026 0
13929 208864 145 1090 0
14062 209698 132 1090 0
14233 208956 169 1044 0
14319 207422 85 1069 0
14440 208502 120 1027 0
14534 208208 94 1030 0
14687 208572 152 1086 0
14785 208011 97 1003 0
14899 209004 113 1027 0
15024 208457 124 1044 0
15323 208896 298 1045 0
15507 208428 184 1069 0
15780 208335 264 1081 0
15931 208940 150 1050 0
16066 207400 134 1056 0
16233 208437 166 1002 0
16358 208001 124 1105 0
16474 208455 115 1058 0
16625 209068 150 1077 0
16747 209468 121 1119 0
16862 208894 114 1022 0
17002 208149 139 1061 0
17118 207943 116 1069 0
17235 208551 116 1046 0
17453 209649 218 1084 0
17568 208189 113 1089 0
17700 208892 132 1105 0
17812 207723 111 1010 0
17935 207651 122 1036 0
18100 207487 164 1032 0
18193 208944 92 1091 0
18369 209032 175 1091 0
18511 208629 141 1071 0
18613 208560 101 1063 0
18749 207907 135 1011 0
18937 209084 187 1057 0
19077 208227 139 1078 0
19184 208577 106 1033 0
19332 208240 148 1047 0
19444 208742 111 1074 0
19598 207955 153 1022 0
19706 208164 108 1028 0
19868 208322 160 1051 0
20036 209346 168 1080 0
20194 209030 157 1051 0
20326 208658 131 1039 0
20448 208652 121 1042 0
20703 209259 254 1102 0
20922 208560 218 1022 0
21088 208932 166 1059 0
21203 209265 114 1064 0
21338 209388 134 1085 0
21454 209263 115 1051 0
21602 208244 147 1092 0
21758 208586 154 1019 0
21869 208282 111 1083 0
22007 208710 137 1059 0
22117 209087 110 1080 0
22250 206660 131 1037 0
22380 209150 129 1091 0
22479 208203 98 1079 0
22634 208530 155 1089 0
22762 207693 126 1047 0
22902 209638 140 1019 0
23016 208302 113 1055 0
23120 207831 103 1014 0
23256 208582 135 1091 0
23360 209381 103 1029 0
23513 208582 152 1100 0
23653 209250 139 1006 0
23863 208437 209 1050 0
24070 208835 206 1060 0
24201 208871 130 1127 0
24342 208316 140 1048 0
24460 208338 117 1081 0
24575 208907 114 1035 0
24700 209122 124 1094 0
24808 207836 107 1054 0
24939 209322 130 1087 0
25179 208962 239 1063 0
25453 209456 273 1067 0
25578 208260 125 1059 0
25688 208841 109 1118 0
25849 208136 160 1057 0
25977 208495 127 1037 0
26137 207871 159 1091 0
26311 208861 173 1097 0
26442 208709 130 1037 0
26577 207346 135 1033 0
26711 209098 133 1089 0
26914 208188 202 1082 0
27075 207670 160 1064 0
27213 208098 137 1071 0
27375 208226 161 1082 0
27594 208160 218 1001 0
27826 208396 231 1079 0
27987 207967 160 1077 0
28136 208256 148 1037 0
28231 209039 94 1031 0
28383 207646 151 1045 0
28514 208742 130 1025 0
28697 208591 183 1075 0
28831 208789 133 1133 0
28998 209073 166 1078 0
29111 207810 112 1001 0
29237 209073 124 1046 0
29347 208211 109 1066 0
29468 208792 120 1071 0
29573 207179 104 1026 0
29695 208679 121 1051 0
29857 208667 161 1084 0
29973 206302 115 1020 0
30000 201729 25 836 0
