fo time ls_time n_ls_moves n_ls_moves2
418 8072807 418 3174 0
713 8065267 253 2826 0
1197 8067260 443 2877 0
1574 8066601 327 2935 0
1981 8067639 365 2926 0
2480 8066983 450 3035 0
3317 8074080 788 3009 0
3903 8072019 507 3081 0
4959 8075019 1010 3215 0
5813 8071718 782 3131 0
6244 8069208 388 3031 0
6677 8077253 392 3047 0
6960 8064568 241 2863 0
7327 8065673 324 2870 0
7957 8075998 586 2974 0
8379 8072034 381 2961 0
8977 8071166 557 3045 0
9630 8065803 605 2994 0
10243 8065642 571 3172 0
10861 8077041 576 3226 0
11212 8070014 303 2940 0
11694 8069718 439 3208 0
12039 8067011 299 3002 0
12614 8067091 534 2993 0
12972 8072321 313 2891 0
13531 8068973 513 3040 0
13982 8073380 410 3144 0
14409 8075330 382 3085 0
14796 8065801 342 2864 0
15389 8074568 551 3018 0
16001 8067381 569 2892 0
16420 8071019 377 3176 0
16877 8074214 416 3125 0
17384 8066054 464 3132 0
17909 8074876 483 2985 0
18364 8074523 413 3201 0
18989 8070680 584 3288 0
19514 8062366 483 2948 0
20133 8075287 574 3192 0
20589 8073545 414 3127 0
21110 8065950 479 3159 0
21784 8072151 624 3139 0
22133 8073799 304 2974 0
22653 8067398 462 3098 0
23061 8066418 365 2869 0
23551 8073293 445 3022 0
24020 8075639 428 3105 0
24466 8062444 401 2975 0
25193 8070376 685 3393 0
25694 8070216 446 3023 0
26150 8065480 411 3084 0
26564 8062178 372 3060 0
27055 8072380 415 2933 0
27636 8064792 538 2919 0
28061 8070169 381 3222 0
28531 8074811 426 3095 0
28885 8070711 310 2935 0
29323 8068179 396 3077 0
29688 8068343 323 3046 0
30002 8064330 273 2974 0
