fo time ls_time n_ls_moves n_ls_moves2
374 25757853 374 3239 0
902 25767630 436 3423 0
2016 25771561 953 3692 0
3368 25765015 1235 3340 0
4060 25768567 584 3584 0
5132 25757095 922 3320 0
5675 25762207 452 3370 0
6157 25766255 388 3521 0
6753 25758405 506 3423 0
7255 25763446 406 3478 0
8188 25779992 842 4150 0
8632 25752676 356 3165 0
9121 25770096 399 3490 0
9605 25757676 387 3447 0
10638 25771397 909 3541 0
11155 25764720 419 3461 0
11669 25765428 423 3428 0
12377 25768001 609 3665 0
12841 25762458 373 3150 0
13305 25766322 359 3276 0
13873 25766829 475 3619 0
14299 25765403 329 3277 0
14722 25771228 326 3383 0
15226 25768466 409 3542 0
15620 25761508 305 3248 0
16164 25765128 454 3410 0
16712 25762227 455 3453 0
17370 25770244 565 3777 0
17836 25761680 374 3345 0
18263 25768059 337 3324 0
18944 25769313 592 3507 0
19357 25756464 322 3381 0
19916 25766619 467 3595 0
20497 25766698 492 3658 0
20998 25769946 410 3610 0
21418 25759082 329 3411 0
21872 25764415 362 3471 0
22255 25759160 288 3505 0
22654 25766400 304 3434 0
23025 25759496 277 3394 0
23515 25766300 401 3402 0
24086 25769982 476 3456 0
24541 25767146 361 3254 0
25035 25760435 398 3537 0
25708 25772810 583 3570 0
26401 25760414 598 3376 0
26859 25771995 368 3598 0
27305 25763317 354 3406 0
27926 25764261 532 3598 0
28485 25769248 457 3408 0
28953 25761828 377 3339 0
29410 25757681 364 3264 0
29899 25756061 395 3113 0
30000 25413310 10 666 0
