fo time ls_time n_ls_moves n_ls_moves2
243 210661 241 1078 3
521 210879 278 1085 4
873 211464 351 1071 6
1201 210843 327 1092 4
1476 210545 274 1059 4
1885 210790 408 1082 4
2214 210448 329 1077 8
2555 209734 340 1079 3
3019 210709 462 1106 8
3632 211121 613 1137 9
3975 210385 342 1089 7
4540 210283 564 1116 5
4951 209751 410 1091 6
5175 210761 223 1076 3
5401 209869 225 1061 3
5674 210651 273 1091 4
6031 209674 355 1024 4
6305 210744 273 1098 3
6983 211442 678 1147 10
7305 210709 321 1110 5
7652 208534 328 1049 7
7891 209961 239 1100 3
8281 210092 389 1079 7
8497 210553 215 1059 2
8769 210845 271 1097 3
9147 210855 377 1056 6
9393 209882 245 1011 3
9717 210095 323 1073 4
10212 210287 494 1027 7
10503 209402 290 1059 3
11078 210793 574 1123 8
11417 211142 338 1054 4
11650 210223 232 1077 2
12079 210040 428 1157 8
12372 210321 292 1069 4
12747 211344 374 1138 6
13027 210221 280 1080 3
13436 210424 408 1066 3
13764 209812 328 1095 5
14038 209240 273 1061 3
14350 210103 311 1053 6
14674 210803 323 1095 3
14884 210254 209 1025 2
15347 210335 463 1062 10
15616 210558 268 1082 3
16094 211359 477 1141 11
16343 210629 249 1087 4
16655 210427 311 1046 4
16938 210629 282 1102 3
17284 210185 345 1059 8
17562 210755 276 1053 5
17816 209351 253 1057 3
18126 209991 309 1029 7
18400 210915 273 1113 4
18669 210598 268 1082 4
18912 210661 242 1079 5
19235 210025 322 1072 5
19425 210622 189 1023 2
19681 210146 255 1082 5
19937 209526 255 1091 5
20291 211301 353 1106 5
20659 210030 367 1142 9
20850 209922 191 1081 2
21276 211218 424 1101 9
21577 210837 301 1072 6
21799 209948 221 1068 3
22039 210204 239 1079 4
22225 209940 185 1038 1
22621 210787 395 1137 6
22837 209635 215 1066 3
23072 209781 233 1010 3
23312 209702 240 1066 4
23572 209106 259 1088 3
23763 209840 190 1013 1
23963 210123 199 1012 2
24219 210691 255 1105 5
24501 209720 282 1070 7
24939 210500 437 1126 8
25245 209774 305 1021 5
25564 210844 318 1132 6
25827 209933 262 1068 4
26031 210501 203 1098 2
26390 210865 358 1065 8
26926 211185 535 1120 11
27353 211037 426 1074 13
27602 209613 249 1107 3
28008 210111 405 1049 8
28416 210017 407 1060 5
28771 209929 354 1104 6
29284 210787 512 1078 8
30012 209307 727 1073 3
