fo time ls_time n_ls_moves n_ls_moves2
294 1625457 294 1972 0
528 1624570 227 2105 0
779 1622757 245 2108 0
990 1621246 204 2058 0
1186 1623975 188 2087 0
1388 1622467 196 2140 0
1612 1626364 217 2118 0
1880 1622631 262 2131 0
2082 1622850 195 2110 0
2417 1622782 329 2094 0
2657 1624192 232 2110 0
2844 1622091 181 1927 0
3098 1621922 248 2130 0
3290 1622989 185 2077 0
3548 1623798 252 2061 0
3779 1623063 224 2111 0
3974 1623309 189 2172 0
4206 1624046 226 2104 0
4392 1621569 177 2123 0
4610 1623750 211 2026 0
4939 1624320 321 2215 0
5150 1622491 204 2052 0
5411 1622049 255 2131 0
5612 1625041 194 1968 0
5820 1620032 201 2089 0
6029 1621552 203 2089 0
6309 1623610 273 2152 0
6504 1623467 188 2126 0
6675 1623326 164 2029 0
6897 1621575 215 2113 0
7180 1621188 274 2110 0
7441 1621962 255 2062 0
7697 1622597 249 2213 0
7855 1618353 152 2023 0
8038 1625024 177 2111 0
8279 1622275 235 2190 0
8554 1622745 268 2066 0
8760 1624642 200 2135 0
9029 1620465 263 2045 0
9246 1621537 210 2033 0
9451 1624610 198 2082 0
9671 1623709 213 2112 0
9901 1623864 223 2159 0
10094 1620366 187 2112 0
10316 1623307 215 2055 0
10549 1623410 226 2144 0
10698 1622386 143 2070 0
10918 1617803 213 2126 0
11271 1622607 347 2227 0
11543 1622162 265 2120 0
11722 1622064 172 2077 0
11949 1622799 221 2155 0
12183 1623886 227 2056 0
12383 1623132 193 2085 0
12692 1622141 303 2120 0
12889 1625724 190 2006 0
13119 1622524 223 2126 0
13453 1623812 327 2201 0
13667 1620149 207 2044 0
13838 1621764 164 1997 0
14051 1621568 207 2158 0
14250 1622757 192 2175 0
14560 1618959 302 2109 0
14762 1622493 196 2068 0
14964 1624135 195 2122 0
15164 1622211 193 2134 0
15382 1623543 212 2253 0
15554 1623499 165 2060 0
15738 1623725 177 2030 0
15979 1622355 235 2220 0
16246 1625765 261 2153 0
16426 1621912 173 2020 0
16631 1620893 198 2030 0
16826 1618430 188 2056 0
17064 1624661 231 2122 0
17289 1625081 218 2131 0
17629 1625016 334 2232 0
17847 1623342 212 2073 0
18126 1625704 273 2245 0
18420 1623721 288 2177 0
18622 1623335 195 2097 0
18846 1623720 217 2181 0
19033 1622037 181 2068 0
19224 1618907 184 2042 0
19464 1623152 233 2160 0
19726 1623802 256 2068 0
20015 1621001 282 2076 0
20232 1620155 211 2045 0
20471 1622477 232 2053 0
20774 1624222 297 2168 0
21033 1621489 252 2009 0
21291 1623016 251 2161 0
21518 1621446 220 2183 0
21748 1623218 224 2096 0
21994 1623897 239 2055 0
22364 1625689 364 2275 0
22622 1623217 251 2073 0
22842 1621355 214 2037 0
23117 1622089 268 2103 0
23444 1621330 318 2120 0
23803 1624030 350 2109 0
24069 1618687 259 2083 0
24309 1623475 234 2029 0
24559 1620426 243 2062 0
24799 1622185 233 2108 0
24990 1621828 184 2098 0
25147 1620709 150 2010 0
25426 1626089 272 2113 0
25623 1623594 191 2003 0
25909 1624993 279 2120 0
26121 1619784 206 2029 0
26444 1628480 316 2290 0
26644 1619426 193 2076 0
27039 1624208 387 2178 0
27355 1622949 309 2112 0
27656 1621333 295 2168 0
27929 1622483 266 1994 0
28267 1622443 331 2139 0
28525 1627063 252 2142 0
28787 1622140 255 2098 0
29008 1621485 214 1997 0
29314 1623763 300 2187 0
29515 1624587 194 2089 0
29712 1622789 191 2072 0
29973 1624400 255 2198 0
30000 1566114 20 1141 0
