!Experiment Random Multi Restart #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
500 50 1 tree first_move 0.620000 1 2094553 2094553.000000 0.000000 1223.000000 0.000000 0.000000 0.000000 0.000000
500 50 1 basic first_move 0.024000 1 2091965 2091965.000000 0.000000 1156.000000 0.000000 0.000000 0.000000 0.000000
500 50 2 bs_array first_move 0.122000 1 2090692 2090692.000000 0.000000 1273.000000 0.000000 0.000000 0.000000 0.000000
500 50 2 tree first_move 0.619000 1 2093552 2093552.000000 0.000000 1175.000000 0.000000 0.000000 0.000000 0.000000
500 50 2 basic first_move 0.025000 1 2090552 2090552.000000 0.000000 1171.000000 0.000000 0.000000 0.000000 0.000000
500 50 3 bs_array first_move 0.124000 1 2081065 2081065.000000 0.000000 1269.000000 0.000000 0.000000 0.000000 0.000000
500 50 3 tree first_move 0.741000 1 2088898 2088898.000000 0.000000 1378.000000 0.000000 0.000000 0.000000 0.000000
500 50 3 basic first_move 0.042000 1 2084527 2084527.000000 0.000000 1241.000000 0.000000 0.000000 0.000000 0.000000
500 50 4 bs_array first_move 0.126000 1 2088303 2088303.000000 0.000000 1232.000000 0.000000 0.000000 0.000000 0.000000
500 50 4 tree first_move 0.684000 1 2085735 2085735.000000 0.000000 1267.000000 0.000000 0.000000 0.000000 0.000000
500 50 4 basic first_move 0.034000 1 2085154 2085154.000000 0.000000 1270.000000 0.000000 0.000000 0.000000 0.000000
500 50 5 bs_array first_move 0.136000 1 2093797 2093797.000000 0.000000 1356.000000 0.000000 0.000000 0.000000 0.000000
500 50 5 tree first_move 0.706000 1 2090376 2090376.000000 0.000000 1219.000000 0.000000 0.000000 0.000000 0.000000
500 50 5 basic first_move 0.032000 1 2094034 2094034.000000 0.000000 1336.000000 0.000000 0.000000 0.000000 0.000000
500 100 1 bs_array first_move 0.414000 1 6512474 6512474.000000 0.000000 1433.000000 0.000000 0.000000 0.000000 0.000000
500 100 1 tree first_move 2.007000 1 6516189 6516189.000000 0.000000 1378.000000 0.000000 1.000000 0.000000 0.000000
500 100 1 basic first_move 0.056000 1 6516151 6516151.000000 0.000000 1742.000000 0.000000 0.000000 0.000000 0.000000
500 100 2 bs_array first_move 0.452000 1 6502817 6502817.000000 0.000000 1407.000000 0.000000 0.000000 0.000000 0.000000
500 100 2 tree first_move 2.272000 1 6510686 6510686.000000 0.000000 1589.000000 0.000000 1.000000 0.000000 0.000000
500 100 2 basic first_move 0.033000 1 6510076 6510076.000000 0.000000 1549.000000 0.000000 0.000000 0.000000 0.000000
500 100 3 bs_array first_move 0.455000 1 6522921 6522921.000000 0.000000 1315.000000 0.000000 0.000000 0.000000 0.000000
500 100 3 tree first_move 2.434000 1 6527583 6527583.000000 0.000000 1641.000000 0.000000 1.000000 0.000000 0.000000
500 100 3 basic first_move 0.032000 1 6524611 6524611.000000 0.000000 1358.000000 0.000000 0.000000 0.000000 0.000000
500 100 4 bs_array first_move 0.556000 1 6520025 6520025.000000 0.000000 1633.000000 0.000000 0.000000 0.000000 0.000000
500 100 4 tree first_move 2.111000 1 6518056 6518056.000000 0.000000 1417.000000 0.000000 1.000000 0.000000 0.000000
500 100 4 basic first_move 0.119000 1 6514609 6514609.000000 0.000000 1458.000000 0.000000 0.000000 0.000000 0.000000
500 100 5 bs_array first_move 0.405000 1 6511722 6511722.000000 0.000000 1399.000000 0.000000 0.000000 0.000000 0.000000
500 100 5 tree first_move 1.980000 1 6508453 6508453.000000 0.000000 1244.000000 0.000000 1.000000 0.000000 0.000000
500 100 5 basic first_move 0.034000 1 6510078 6510078.000000 0.000000 1511.000000 0.000000 0.000000 0.000000 0.000000
1000 1 1 bs_array first_move 0.011000 1 208349 208349.000000 0.000000 1066.000000 0.000000 0.000000 0.000000 0.000000
1000 1 1 tree first_move 0.008000 1 208446 208446.000000 0.000000 1097.000000 0.000000 0.000000 0.000000 0.000000
1000 1 1 basic first_move 0.088000 1 207804 207804.000000 0.000000 1096.000000 0.000000 0.000000 0.000000 0.000000
1000 1 2 bs_array first_move 0.010000 1 204329 204329.000000 0.000000 1057.000000 0.000000 0.000000 0.000000 0.000000
1000 1 2 tree first_move 0.008000 1 204527 204527.000000 0.000000 1059.000000 0.000000 0.000000 0.000000 0.000000
1000 1 2 basic first_move 0.264000 1 204042 204042.000000 0.000000 1101.000000 0.000000 0.000000 0.000000 0.000000
1000 1 3 bs_array first_move 0.003000 1 203900 203900.000000 0.000000 1067.000000 0.000000 0.000000 0.000000 0.000000
1000 1 3 tree first_move 0.011000 1 201927 201927.000000 0.000000 1023.000000 0.000000 0.000000 0.000000 0.000000
1000 1 3 basic first_move 0.126000 1 202889 202889.000000 0.000000 1020.000000 0.000000 0.000000 0.000000 0.000000
1000 1 4 bs_array first_move 0.003000 1 212174 212174.000000 0.000000 1068.000000 0.000000 0.000000 0.000000 0.000000
1000 1 4 tree first_move 0.009000 1 212338 212338.000000 0.000000 1106.000000 0.000000 0.000000 0.000000 0.000000
1000 1 4 basic first_move 0.168000 1 212339 212339.000000 0.000000 1083.000000 0.000000 0.000000 0.000000 0.000000
1000 1 5 bs_array first_move 0.003000 1 210956 210956.000000 0.000000 1056.000000 0.000000 0.000000 0.000000 0.000000
1000 1 5 tree first_move 0.012000 1 209287 209287.000000 0.000000 1040.000000 0.000000 0.000000 0.000000 0.000000
1000 1 5 basic first_move 0.134000 1 210167 210167.000000 0.000000 1073.000000 0.000000 0.000000 0.000000 0.000000
1000 5 1 bs_array first_move 0.019000 1 854844 854844.000000 0.000000 1852.000000 0.000000 0.000000 0.000000 0.000000
1000 5 1 tree first_move 0.099000 1 853866 853866.000000 0.000000 1743.000000 0.000000 0.000000 0.000000 0.000000
1000 5 1 basic first_move 0.335000 1 853407 853407.000000 0.000000 1741.000000 0.000000 0.000000 0.000000 0.000000
