fo time ls_time n_ls_moves n_ls_moves2
260 8065724 260 2898 0
725 8064840 419 2989 0
1163 8068611 396 2931 0
1622 8065001 410 2943 0
2018 8064843 355 3042 0
2359 8071558 300 2961 0
2684 8062647 284 2918 0
3006 8068608 276 2938 0
3587 8067223 540 3160 0
3850 8073381 222 2806 0
4327 8072224 437 3126 0
4658 8068527 284 2955 0
4905 8065129 206 2918 0
5376 8072272 429 3158 0
5690 8068766 272 2951 0
6116 8059165 385 2951 0
6492 8063610 335 2982 0
6854 8070940 321 3079 0
7286 8067258 390 3072 0
7752 8075606 425 3140 0
8108 8068234 315 2925 0
8523 8067942 372 3079 0
9065 8073878 481 3322 0
9421 8068139 314 2998 0
9795 8066617 327 2875 0
10107 8067304 271 2892 0
10398 8067819 249 2936 0
10810 8069359 370 3011 0
11191 8060071 340 2908 0
11561 8069667 327 3187 0
11952 8071740 349 3022 0
12433 8068473 439 3196 0
12798 8067359 325 3015 0
13153 8063975 313 2907 0
13494 8065997 300 3042 0
13905 8063053 370 2979 0
14314 8071877 366 3253 0
14703 8070882 346 3052 0
15005 8065342 260 2819 0
15434 8067788 388 3035 0
15764 8073118 287 2997 0
16107 8061015 293 2950 0
16658 8070818 506 3053 0
17088 8068811 387 2912 0
17619 8069723 488 3266 0
18063 8064789 395 3028 0
18435 8070056 330 3169 0
18756 8066506 277 2767 0
19257 8067493 459 3010 0
19640 8065882 337 2917 0
19953 8059298 265 2716 0
20000 7585711 6 412 0
