fo time ls_time n_ls_moves n_ls_moves2
367 8059424 367 2792 0
705 8055541 296 2900 0
1003 8066758 255 2962 0
1353 8067070 308 2908 0
1976 8073506 578 3054 0
2531 8060640 496 2872 0
2982 8060353 409 2808 0
3299 8070818 274 3036 0
3869 8068986 528 2986 0
4694 8064218 771 3050 0
5373 8066598 627 2976 0
6467 8064320 1030 2825 0
7355 8065683 818 2919 0
8193 8069780 773 3069 0
9079 8058235 821 2904 0
9909 8065478 779 3014 0
10466 8070481 510 3087 0
10940 8065510 421 2803 0
11431 8067406 440 2975 0
12300 8061591 814 3116 0
12821 8065054 460 3014 0
13651 8068719 733 3192 0
14157 8067186 458 2874 0
14774 8058432 566 2729 0
15117 8075189 301 3212 0
15426 8069070 268 2990 0
16136 8063969 668 3050 0
16947 8068464 747 3041 0
17482 8061451 488 2931 0
17976 8063523 447 3004 0
19136 8062832 1118 3152 0
19502 8065460 318 2903 0
19921 8066376 377 2947 0
20000 7978050 33 1601 0
