fo time ls_time n_ls_moves n_ls_moves2
376 25792019 376 3418 0
796 25792221 329 3154 0
1323 25802240 436 3634 0
1862 25801984 440 3272 0
2305 25786744 349 2975 0
2973 25796329 578 3505 0
3411 25802186 347 3415 0
3821 25795934 314 3440 0
4298 25801410 383 3516 0
4773 25809808 363 3715 0
5254 25800442 391 3368 0
5881 25797688 533 3563 0
6461 25799332 477 3669 0
6987 25789299 433 3425 0
7509 25797743 421 3457 0
8112 25791802 512 3512 0
8637 25793355 426 3596 0
9312 25792133 580 3388 0
9754 25787224 341 3448 0
10257 25796390 408 3437 0
10703 25793477 355 3443 0
11162 25796756 358 3465 0
11601 25798929 346 3390 0
12163 25793571 463 3376 0
12615 25798496 361 3544 0
13308 25801097 600 3692 0
13847 25795782 443 3392 0
14374 25800127 436 3347 0
14900 25794944 429 3343 0
15304 25794875 315 3259 0
15884 25792303 490 3518 0
16427 25794950 455 3431 0
16797 25798231 275 3387 0
17412 25801335 521 3761 0
17800 25793889 293 3491 0
18257 25801838 366 3549 0
18794 25800680 443 3575 0
19237 25803607 353 3279 0
19660 25791133 333 3384 0
20000 25794254 250 3336 0
