fo time ls_time n_ls_moves n_ls_moves2
406 25761839 406 3373 0
1017 25770216 520 3369 0
1431 25763015 322 3432 0
2047 25770213 520 3610 0
2628 25766325 492 3351 0
3245 25762062 515 3330 0
3863 25761813 514 3733 0
4629 25766150 658 3444 0
5293 25773830 572 3575 0
5905 25758256 495 3625 0
6498 25761204 491 3296 0
6918 25753935 309 3118 0
7452 25764569 442 3640 0
8186 25766006 640 3557 0
8565 25764431 287 3258 0
9163 25766825 504 3373 0
9783 25760634 500 3321 0
10177 25766464 290 3293 0
10631 25763119 365 3379 0
10991 25762921 266 3326 0
11476 25768420 395 3351 0
11843 25768532 272 3323 0
12299 25763056 366 3340 0
12890 25760203 497 3588 0
13342 25765988 357 3360 0
13931 25759390 492 3386 0
14293 25761097 272 3445 0
14806 25763435 424 3319 0
15131 25758342 230 3211 0
15834 25752644 610 3416 0
16591 25769759 664 3657 0
16953 25761782 272 3231 0
17849 25762006 799 3674 0
18209 25765701 265 3330 0
18696 25761175 394 3249 0
19166 25764025 377 3418 0
19663 25773735 405 3578 0
20001 25760627 226 3308 0
