fo time ls_time n_ls_moves n_ls_moves2
275 203615 274 1057 5
458 204411 182 1055 1
808 203522 349 1128 8
1042 204083 233 1109 1
1321 203684 278 1127 6
1565 203787 243 1093 3
1803 203440 237 1070 4
2246 204133 442 1064 10
2593 203641 346 1106 5
2946 204218 352 1053 6
3149 203841 203 1068 4
3427 203241 276 1024 5
3720 204816 293 1084 5
3911 203378 190 1086 0
4204 203236 292 1101 5
4412 203384 207 1062 4
4675 203535 262 1066 5
4912 204628 236 1093 5
5155 202592 242 1058 5
5391 203109 235 1061 4
5702 203523 310 1063 4
6142 204364 438 1140 9
6433 203862 290 1084 4
6812 204117 378 1081 8
7138 203295 325 1063 7
7495 203048 356 1054 8
7751 203234 255 1089 3
8009 204419 257 1069 6
8287 204067 277 1054 4
8573 203205 285 1052 4
8897 204084 323 1002 7
9208 203357 310 1099 7
9527 203625 318 1104 4
9886 203548 358 1077 8
10089 203132 202 1041 2
10325 203690 235 1055 3
10588 203706 262 1052 4
10824 202810 235 1023 4
11033 203527 208 1047 3
11319 202750 285 1045 3
11676 202951 357 1020 7
11952 203278 275 1033 5
12144 203841 190 1077 2
12413 203449 268 1058 5
12564 202555 150 1044 1
12855 203659 290 1077 5
13115 204008 259 1110 3
13355 203343 239 1065 3
13692 203947 336 1037 4
13976 203153 283 1051 7
14219 203587 243 1081 4
14534 203694 313 1078 4
14794 204205 259 1042 3
15086 203420 291 1051 4
15475 204580 388 1045 9
15716 203455 240 1065 4
15942 203577 225 1062 4
16248 203764 305 1062 4
16588 204412 339 1083 9
16888 203976 298 1071 3
17181 202122 292 1073 7
17444 203911 262 1042 5
17719 202883 275 1053 7
17940 203751 220 1057 5
18314 203654 373 1065 9
18623 204348 308 1098 8
18921 204558 297 1089 6
19209 203637 287 1081 6
19476 204461 266 1149 4
19649 204011 172 1079 2
19847 202670 197 1032 2
20008 204047 160 1084 1
