fo time ls_time n_ls_moves n_ls_moves2
419 209188 418 1132 5
714 208874 294 1099 4
1035 209091 320 1070 3
1591 209585 556 1091 13
2039 209514 446 1135 8
2544 208575 504 1102 11
3041 210107 497 1145 10
3288 209914 246 1119 2
3672 209466 383 1110 7
4013 208270 340 1114 5
4400 209401 387 1050 6
4718 208914 317 1048 7
5111 208336 392 1128 5
5385 209325 273 1080 3
5771 209314 385 1058 6
6050 209568 278 1017 5
6232 208954 181 1084 2
6622 209519 389 1092 7
7003 208036 380 1092 6
7415 208642 411 1095 7
7673 209208 257 1089 4
7961 209055 287 1045 4
8206 209299 243 1079 2
8602 209691 396 1079 10
8826 209889 222 1078 2
9057 208549 230 1096 3
9346 208637 288 1067 5
9596 209105 250 1076 4
9763 209133 166 1028 1
10122 208826 358 1078 8
10467 209455 344 1076 5
10714 208693 246 1048 3
10959 209427 244 1089 3
11338 209130 378 1088 6
11635 209574 296 1092 3
12051 208952 415 1076 6
12382 209475 330 1077 4
12693 209438 310 1102 6
13095 209885 401 1122 7
13414 208852 319 1092 5
13667 208232 251 1064 3
13962 209362 295 1080 4
14344 209516 381 1091 6
14616 208777 267 1093 2
15075 209740 458 1085 8
15517 209413 441 1109 7
15827 209372 308 1075 5
16154 209247 327 1135 6
16456 208585 301 1051 5
16865 209547 407 1078 5
17117 208522 251 1099 3
17584 208359 466 1078 5
17981 209123 396 1091 8
18177 208814 196 1042 1
18556 209283 378 1103 8
18978 208020 421 1085 7
19314 208585 335 1083 5
19612 209445 297 1044 4
19962 210070 349 1081 8
20000 197232 37 776 0
