fo time ls_time n_ls_moves n_ls_moves2
479 1618740 479 2260 0
790 1617545 303 2224 0
1044 1618402 248 2173 0
1252 1616054 201 2011 0
1490 1619586 231 2105 0
1683 1618453 187 2099 0
1889 1618822 199 2223 0
2081 1618214 185 2173 0
2335 1616667 247 2043 0
2620 1617523 278 2257 0
2901 1620275 275 2156 0
3087 1615840 179 2090 0
3319 1617586 225 2145 0
3573 1619683 248 2219 0
3769 1617791 189 2088 0
3971 1618927 196 2008 0
4272 1616851 294 2097 0
4481 1621116 202 2153 0
4701 1618416 210 2170 0
4970 1617801 262 2192 0
5187 1619665 211 2180 0
5437 1621036 244 2185 0
5799 1614970 318 2049 0
6172 1618676 366 2134 0
6460 1612835 281 1971 0
6689 1615783 223 2065 0
6940 1616580 245 2027 0
7156 1616901 209 2053 0
7373 1618470 211 2153 0
7608 1615936 228 2116 0
7892 1614381 278 2142 0
8134 1616957 234 2111 0
8358 1614383 217 2039 0
8566 1617687 201 2150 0
8805 1617364 232 2080 0
9056 1619548 245 2198 0
9285 1616148 222 2079 0
9475 1618402 184 2106 0
9687 1619447 205 2133 0
9853 1616966 159 2013 0
10143 1619166 283 2203 0
10470 1618852 320 2139 0
10848 1617626 369 2061 0
11055 1614556 200 2126 0
11295 1619151 233 2167 0
11637 1619053 336 2216 0
11861 1616492 217 2127 0
12062 1618404 194 2206 0
12352 1617776 283 2107 0
12626 1619342 268 2092 0
12884 1615161 251 2088 0
13085 1616840 194 2071 0
13342 1619700 250 2242 0
13708 1614858 360 2117 0
13939 1621943 224 2163 0
14174 1615193 229 2146 0
14407 1618732 226 2161 0
14684 1618538 270 2052 0
15078 1616674 387 2118 0
15285 1616047 200 1986 0
15441 1613665 150 1930 0
15684 1621623 235 2208 0
15879 1616005 188 2105 0
16060 1618195 174 2061 0
16290 1618755 223 2146 0
16458 1616320 162 2077 0
16640 1619412 174 2031 0
16953 1618811 306 2246 0
17220 1616514 261 2070 0
17407 1615359 180 1983 0
17636 1614782 222 2045 0
17837 1617117 194 2092 0
18170 1616762 326 2179 0
18564 1618580 387 2057 0
18997 1617588 426 2093 0
19676 1623721 670 2291 0
20001 1619137 318 2158 0
