fo time ls_time n_ls_moves n_ls_moves2
901 866531 900 1969 10
1919 863614 1015 1887 17
2435 864988 512 1745 6
3080 866279 642 1865 7
3498 863638 415 1805 6
4322 865024 820 1935 9
5036 866993 711 1893 10
6029 865936 990 1809 18
6761 863578 729 1764 9
7758 865928 994 1834 18
8619 866501 856 1790 11
9312 866033 690 1866 10
10184 865189 869 1898 14
11010 866515 823 1896 14
11895 867197 882 1845 17
12705 869301 807 1920 10
13734 864759 1026 1898 14
14391 864445 654 1837 7
15334 867773 939 1907 15
16284 865985 947 1909 14
16959 864779 672 1797 8
17996 865912 1032 1842 18
19080 868512 1081 1989 19
19813 864320 730 1882 8
20000 860655 184 1684 0
