fo time ls_time n_ls_moves n_ls_moves2
149 855365 149 1704 0
307 856107 154 1762 0
632 859330 321 1891 0
843 855027 208 1783 0
1033 857746 187 1752 0
1240 855439 204 1824 0
1431 856412 188 1754 0
1614 858616 180 1825 0
1806 860150 189 1820 0
2006 854912 197 1797 0
2207 859729 198 1846 0
2465 859798 255 1819 0
2686 856985 218 1826 0
2860 857252 171 1817 0
3047 857700 184 1790 0
3212 857373 162 1687 0
3428 858734 213 1750 0
3613 856156 181 1821 0
3778 856662 162 1810 0
4032 857108 251 1802 0
4235 858638 200 1864 0
4485 858055 247 1810 0
4742 856996 254 1789 0
4989 856609 236 1832 0
5151 856311 159 1651 0
5313 855693 159 1760 0
5497 857137 181 1780 0
5741 856742 240 1796 0
5892 858887 149 1763 0
6123 861589 228 1887 0
6289 857489 163 1819 0
6484 858530 192 1834 0
6650 857167 163 1753 0
6845 858921 191 1765 0
7038 858942 189 1753 0
7285 859550 245 1857 0
7500 858631 212 1717 0
7765 860807 262 1841 0
7954 855094 186 1699 0
8142 856149 185 1749 0
8265 858285 121 1769 0
8469 856231 201 1821 0
8631 855702 159 1681 0
8794 856149 159 1727 0
8973 859772 176 1896 0
9158 856971 183 1836 0
9353 859041 192 1826 0
9537 858650 181 1786 0
9781 858602 241 1799 0
10018 858678 234 1730 0
10196 856734 175 1759 0
10346 854659 147 1669 0
10571 860859 222 1808 0
10781 859225 207 1741 0
10926 856746 142 1757 0
11110 854535 180 1753 0
11373 856967 260 1732 0
11571 859500 195 1751 0
11747 859286 172 1822 0
11924 856770 175 1689 0
12113 859433 186 1818 0
12334 857411 217 1852 0
12495 856357 158 1764 0
12700 857636 202 1709 0
12886 859016 183 1802 0
13082 857584 193 1773 0
13254 857331 169 1778 0
13432 858261 175 1697 0
13624 857016 189 1793 0
13781 856584 153 1825 0
13981 860225 197 1786 0
14223 855911 239 1764 0
14420 858551 194 1711 0
14578 857578 156 1798 0
14784 857691 202 1818 0
14987 856673 200 1820 0
15175 857752 185 1766 0
15369 857482 191 1714 0
15532 857666 159 1770 0
15704 858485 169 1733 0
15862 853913 155 1658 0
16026 855738 161 1742 0
16209 855620 180 1773 0
16390 857489 178 1753 0
16562 859542 169 1833 0
16736 857995 171 1832 0
16877 857654 138 1792 0
17044 857630 163 1775 0
17250 854105 203 1697 0
17452 858740 199 1865 0
17713 860451 258 1836 0
17889 857301 173 1789 0
18196 859948 305 1816 0
18456 859031 256 1824 0
18639 855556 180 1706 0
18862 856806 220 1783 0
19026 856742 161 1730 0
19230 856189 201 1753 0
19423 858377 190 1762 0
19547 859647 122 1726 0
19745 857025 194 1794 0
19939 860853 192 1829 0
20000 845272 57 1436 0
