fo time ls_time n_ls_moves n_ls_moves2
820 861034 818 1854 13
1760 858237 937 1915 16
2555 861092 792 1902 15
3536 858632 977 1768 17
4507 860106 969 1844 16
5091 858515 580 1814 7
6213 860084 1120 1950 15
6927 861536 711 1910 13
7729 859806 799 1787 17
8132 859342 400 1786 5
8843 859913 708 1797 12
9525 859159 678 1887 8
10280 861644 752 2014 12
11057 858559 773 1734 13
12010 862069 950 1937 14
12706 861318 693 1916 8
13527 858331 818 1864 11
14252 861048 722 1822 12
14810 856625 555 1854 8
15576 860720 763 1931 10
16233 859049 654 1840 9
17108 861465 871 1879 16
17822 862488 711 1906 14
18411 862969 585 1806 7
19220 861397 807 1915 12
20000 860268 777 1857 11
