fo time ls_time n_ls_moves n_ls_moves2
384 209629 383 1075 7
607 210735 221 1057 4
1187 211502 580 1104 10
1560 210037 372 1039 6
1817 210291 256 1090 4
1994 209976 177 1065 1
2336 210561 341 1066 4
2545 209505 208 1060 1
2804 210731 257 1085 3
3177 210347 372 1064 8
3477 210212 300 1076 5
3860 211278 382 1099 6
4069 210238 208 1095 3
4356 210470 286 1050 5
4555 209931 198 1027 1
4794 209984 239 1089 4
5018 209550 223 1032 4
5386 211232 367 1096 7
5737 210259 351 1071 6
6027 210734 289 1125 4
6308 209694 281 1065 3
6608 209878 298 1114 4
7065 211169 456 1081 8
7339 209743 273 1107 5
7650 210822 311 1133 4
7862 209520 211 1042 4
8097 208845 234 1060 3
8515 209426 417 1035 8
8844 211016 328 1097 4
9207 209709 362 1094 8
9365 210610 157 1093 1
9780 210657 414 1086 6
10175 210905 394 1098 10
10448 210188 272 1048 2
10796 210703 347 1071 6
11047 211840 250 1098 3
11388 209649 340 1063 6
11595 209555 206 1015 1
11819 210862 223 1069 2
12062 209987 243 1053 3
12375 211105 312 1083 4
12585 211360 209 1093 3
12890 210006 304 1063 3
13133 210076 242 1038 3
13534 210503 400 1111 5
13728 209810 193 1035 3
14020 210587 292 1087 4
14439 209509 417 1072 9
14649 210250 209 1045 2
14976 210426 326 1090 6
15289 210177 312 1041 7
15586 209921 296 1074 5
15856 210031 269 1100 3
16199 210710 342 1083 5
16597 210132 397 1114 8
16858 210808 260 1100 5
17271 210128 412 1058 6
17581 209915 309 1076 5
18000 210588 418 1140 7
18219 210052 218 1053 3
18508 211260 288 1138 4
18829 210282 320 1128 3
19116 210792 286 1100 5
19444 209678 327 1076 4
19828 209842 384 1013 6
20011 209670 182 1130 2
