fo time ls_time n_ls_moves n_ls_moves2
946 1627163 945 2167 14
2621 1630020 1669 2272 19
3548 1622000 920 2271 12
4558 1628739 1003 2178 18
5346 1625635 781 2198 8
6403 1629674 1050 2256 16
7514 1624779 1105 2237 15
8451 1624443 930 2189 16
9276 1623219 819 2059 9
10859 1627142 1574 2177 23
12278 1629823 1413 2287 16
13295 1625718 1010 2196 15
14230 1625446 928 2358 10
14852 1625520 615 2135 7
16125 1625652 1266 2269 14
17454 1624037 1323 2239 20
18787 1624185 1327 2163 12
19697 1627737 901 2206 11
20007 1623934 303 2113 0
