fo time ls_time n_ls_moves n_ls_moves2
599 859310 598 1822 8
1587 860208 985 1859 17
2123 859591 533 1855 6
2987 857935 860 1802 14
3416 859921 426 1876 6
4288 858886 869 1826 16
5270 859984 979 1858 21
5947 861300 673 1914 15
6668 862775 718 1888 10
7259 855846 588 1816 10
7729 859271 467 1818 7
8442 859982 710 1848 7
9119 857859 673 1765 8
9902 859826 780 1851 10
10683 860364 778 1824 11
11347 860611 661 1864 11
11908 858085 557 1793 10
12821 861028 910 1937 10
13517 857850 693 1843 10
14193 860309 674 1818 10
14912 861440 715 1893 14
15422 858706 505 1792 7
16226 858594 801 1859 11
17180 859376 950 1967 16
17926 859284 743 1839 10
18570 860234 640 1804 10
19270 860649 697 1850 8
19782 859340 509 1902 7
20003 859521 218 1812 0
