fo time ls_time n_ls_moves n_ls_moves2
1483 1619440 1481 2247 10
3502 1619100 2012 2251 16
4486 1622654 978 2137 9
5405 1622955 912 2295 13
6694 1620164 1282 2261 13
7696 1619614 990 2288 13
8454 1616826 750 2200 8
9378 1617176 918 2182 8
10743 1617747 1358 2181 18
11706 1620600 957 2155 12
13036 1618751 1323 2071 23
14131 1616831 1088 2183 17
14815 1620100 677 2203 7
15453 1618017 632 2125 7
16510 1616830 1049 1990 20
17790 1621126 1274 2279 18
18909 1618981 1112 2144 14
20008 1618453 1092 2302 12
