!Experiment Random Multi Start #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
1000 100 4 basic(order2) first_move 4.042000 1 25808799 25808799.000000 0.000000 3510.000000 0.000000 0.000000 9.000000 287.000000
1000 100 5 basic(order2) first_move 2.193000 1 25768146 25768146.000000 0.000000 3665.000000 0.000000 0.000000 4.000000 307.000000
2000 1 1 basic(order2) first_move 4.614000 1 767846 767846.000000 0.000000 2799.000000 0.000000 1.000000 13.000000 13.000000
2000 1 2 basic(order2) first_move 5.620000 1 773894 773894.000000 0.000000 2801.000000 0.000000 1.000000 13.000000 18.000000
2000 1 3 basic(order2) first_move 8.705000 1 748860 748860.000000 0.000000 2852.000000 0.000000 2.000000 25.000000 13.000000
2000 1 4 basic(order2) first_move 7.542000 1 775100 775100.000000 0.000000 2933.000000 0.000000 2.000000 17.000000 17.000000
2000 1 5 basic(order2) first_move 7.847000 1 769553 769553.000000 0.000000 2827.000000 0.000000 2.000000 19.000000 18.000000
2000 5 1 basic(order2) first_move 12.634000 1 3209892 3209892.000000 0.000000 4339.000000 0.000000 2.000000 28.000000 37.000000
2000 5 2 basic(order2) first_move 11.234000 1 3241303 3241303.000000 0.000000 4408.000000 0.000000 2.000000 25.000000 42.000000
2000 5 3 basic(order2) first_move 13.305000 1 3197293 3197293.000000 0.000000 4647.000000 0.000000 2.000000 30.000000 40.000000
2000 5 4 basic(order2) first_move 12.063000 1 3235759 3235759.000000 0.000000 4483.000000 0.000000 2.000000 26.000000 42.000000
2000 5 5 basic(order2) first_move 8.353000 1 3201574 3201574.000000 0.000000 4469.000000 0.000000 1.000000 18.000000 31.000000
2000 10 1 basic(order2) first_move 12.499000 1 6109662 6109662.000000 0.000000 5013.000000 0.000000 1.000000 25.000000 86.000000
2000 10 2 basic(order2) first_move 18.731000 1 6140999 6140999.000000 0.000000 5328.000000 0.000000 2.000000 35.000000 78.000000
2000 10 3 basic(order2) first_move 11.448000 1 6081267 6081267.000000 0.000000 5257.000000 0.000000 1.000000 18.000000 83.000000
2000 10 4 basic(order2) first_move 12.433000 1 6128931 6128931.000000 0.000000 5119.000000 0.000000 1.000000 21.000000 118.000000
2000 10 5 basic(order2) first_move 12.165000 1 6126142 6126142.000000 0.000000 5274.000000 0.000000 1.000000 18.000000 125.000000
2000 50 1 basic(order2) first_move 39.439000 1 31451491 31451491.000000 0.000000 7689.000000 0.000000 2.000000 30.000000 628.000000
2000 50 2 basic(order2) first_move 28.230000 1 31473312 31473312.000000 0.000000 7503.000000 0.000000 1.000000 16.000000 719.000000
2000 50 3 basic(order2) first_move 21.020000 1 31442474 31442474.000000 0.000000 7044.000000 0.000000 1.000000 11.000000 1009.000000
2000 50 4 basic(order2) first_move 20.457000 1 31452625 31452625.000000 0.000000 6739.000000 0.000000 1.000000 14.000000 753.000000
2000 50 5 basic(order2) first_move 18.699000 1 31455245 31455245.000000 0.000000 7423.000000 0.000000 0.000000 11.000000 804.000000
2000 100 1 basic(order2) first_move 40.374000 1 102220161 102220161.000000 0.000000 8281.000000 0.000000 1.000000 10.000000 2602.000000
2000 100 2 basic(order2) first_move 65.667000 1 102184208 102184208.000000 0.000000 8199.000000 0.000000 2.000000 33.000000 1326.000000
2000 100 3 basic(order2) first_move 48.914000 1 102254759 102254759.000000 0.000000 8643.000000 0.000000 1.000000 16.000000 1956.000000
2000 100 4 basic(order2) first_move 31.127000 1 102238769 102238769.000000 0.000000 7797.000000 0.000000 0.000000 13.000000 1597.000000
2000 100 5 basic(order2) first_move 32.658000 1 102186708 102186708.000000 0.000000 8030.000000 0.000000 1.000000 11.000000 1880.000000
3000 1 1 basic(order2) first_move 25.569000 1 1640441 1640441.000000 0.000000 4766.000000 0.000000 4.000000 31.000000 65.000000
3000 1 2 basic(order2) first_move 22.507000 1 1652737 1652737.000000 0.000000 4797.000000 0.000000 4.000000 25.000000 43.000000
3000 1 3 basic(order2) first_move 28.933000 1 1619979 1619979.000000 0.000000 4708.000000 0.000000 5.000000 33.000000 42.000000
3000 1 4 basic(order2) first_move 29.192000 1 1648487 1648487.000000 0.000000 4977.000000 0.000000 5.000000 32.000000 43.000000
3000 1 5 basic(order2) first_move 25.567000 1 1658864 1658864.000000 0.000000 4657.000000 0.000000 4.000000 31.000000 39.000000
3000 5 1 basic(order2) first_move 42.762000 1 6988731 6988731.000000 0.000000 7385.000000 0.000000 4.000000 28.000000 320.000000
3000 5 2 basic(order2) first_move 73.577000 1 7015076 7015076.000000 0.000000 7667.000000 0.000000 7.000000 64.000000 194.000000
3000 5 3 basic(order2) first_move 38.798000 1 6927976 6927976.000000 0.000000 7437.000000 0.000000 3.000000 33.000000 256.000000
3000 5 4 basic(order2) first_move 62.757000 1 7000886 7000886.000000 0.000000 7653.000000 0.000000 6.000000 46.000000 239.000000
3000 5 5 basic(order2) first_move 54.264000 1 6996247 6996247.000000 0.000000 7318.000000 0.000000 6.000000 47.000000 161.000000
3000 10 1 basic(order2) first_move 40.797000 1 13372700 13372700.000000 0.000000 8410.000000 0.000000 2.000000 26.000000 572.000000
3000 10 2 basic(order2) first_move 67.943000 1 13423710 13423710.000000 0.000000 8637.000000 0.000000 5.000000 47.000000 355.000000
3000 10 3 basic(order2) first_move 50.906000 1 13366799 13366799.000000 0.000000 8610.000000 0.000000 4.000000 40.000000 306.000000
3000 10 4 basic(order2) first_move 106.548000 1 13431742 13431742.000000 0.000000 9295.000000 0.000000 8.000000 86.000000 233.000000
3000 10 5 basic(order2) first_move 55.933000 1 13443356 13443356.000000 0.000000 8657.000000 0.000000 4.000000 40.000000 341.000000
3000 50 1 basic(order2) first_move 115.336000 1 69834483 69834483.000000 0.000000 11555.000000 0.000000 2.000000 26.000000 3105.000000
3000 50 2 basic(order2) first_move 262.175000 1 69990447 69990447.000000 0.000000 12867.000000 0.000000 4.000000 50.000000 3861.000000
3000 50 3 basic(order2) first_move 86.841000 1 69932495 69932495.000000 0.000000 11561.000000 0.000000 2.000000 29.000000 1814.000000
3000 50 4 basic(order2) first_move 149.433000 1 69964528 69964528.000000 0.000000 12188.000000 0.000000 4.000000 38.000000 2447.000000
3000 50 5 basic(order2) first_move 123.297000 1 69993751 69993751.000000 0.000000 12193.000000 0.000000 2.000000 27.000000 3104.000000
3000 100 1 basic(order2) first_move 238.236000 1 229121886 229121886.000000 0.000000 14033.000000 0.000000 2.000000 20.000000 9704.000000
3000 100 2 basic(order2) first_move 308.727000 1 229119920 229119920.000000 0.000000 14258.000000 0.000000 3.000000 26.000000 9482.000000
3000 100 3 basic(order2) first_move 431.804000 1 229254532 229254532.000000 0.000000 14611.000000 0.000000 5.000000 68.000000 5005.000000
3000 100 4 basic(order2) first_move 291.504000 1 229124147 229124147.000000 0.000000 13369.000000 0.000000 3.000000 29.000000 7900.000000
3000 100 5 basic(order2) first_move 240.654000 1 229194118 229194118.000000 0.000000 13979.000000 0.000000 2.000000 15.000000 13004.000000
4000 1 1 basic(order2) first_move 43.011000 1 2827604 2827604.000000 0.000000 6937.000000 0.000000 5.000000 23.000000 153.000000
4000 1 2 basic(order2) first_move 70.765000 1 2832783 2832783.000000 0.000000 7012.000000 0.000000 9.000000 51.000000 90.000000
4000 1 3 basic(order2) first_move 93.225000 1 2799689 2799689.000000 0.000000 6969.000000 0.000000 12.000000 58.000000 109.000000
4000 1 4 basic(order2) first_move 64.587000 1 2838585 2838585.000000 0.000000 6851.000000 0.000000 8.000000 42.000000 103.000000
4000 1 5 basic(order2) first_move 80.829000 1 2832834 2832834.000000 0.000000 6968.000000 0.000000 10.000000 47.000000 103.000000
4000 5 1 basic(order2) first_move 132.187000 1 12126365 12126365.000000 0.000000 10435.000000 0.000000 9.000000 60.000000 490.000000
4000 5 2 basic(order2) first_move 177.474000 1 12167937 12167937.000000 0.000000 10888.000000 0.000000 12.000000 87.000000 376.000000
4000 5 3 basic(order2) first_move 159.938000 1 12082636 12082636.000000 0.000000 10624.000000 0.000000 11.000000 63.000000 541.000000
4000 5 4 basic(order2) first_move 119.863000 1 12152527 12152527.000000 0.000000 10604.000000 0.000000 8.000000 53.000000 533.000000
4000 5 5 basic(order2) first_move 152.574000 1 12121925 12121925.000000 0.000000 10546.000000 0.000000 11.000000 71.000000 422.000000
4000 10 1 basic(order2) first_move 172.571000 1 23373306 23373306.000000 0.000000 12552.000000 0.000000 10.000000 68.000000 576.000000
4000 10 2 basic(order2) first_move 223.831000 1 23403326 23403326.000000 0.000000 12237.000000 0.000000 9.000000 64.000000 1672.000000
4000 10 3 basic(order2) first_move 161.028000 1 23361407 23361407.000000 0.000000 12747.000000 0.000000 7.000000 41.000000 1373.000000
4000 10 4 basic(order2) first_move 121.304000 1 23432518 23432518.000000 0.000000 12079.000000 0.000000 6.000000 44.000000 876.000000
4000 10 5 basic(order2) first_move 240.013000 1 23421578 23421578.000000 0.000000 13157.000000 0.000000 11.000000 88.000000 903.000000
4000 50 1 basic(order2) first_move 417.700000 1 123395295 123395295.000000 0.000000 18600.000000 0.000000 7.000000 51.000000 5284.000000
4000 50 2 basic(order2) first_move 439.166000 1 123437352 123437352.000000 0.000000 16902.000000 0.000000 7.000000 66.000000 4666.000000
4000 50 3 basic(order2) first_move 511.057000 1 123409064 123409064.000000 0.000000 17380.000000 0.000000 6.000000 51.000000 7702.000000
4000 50 4 basic(order2) first_move 441.951000 1 123596078 123596078.000000 0.000000 16936.000000 0.000000 7.000000 55.000000 5591.000000
4000 50 5 basic(order2) first_move 327.451000 1 123389445 123389445.000000 0.000000 16919.000000 0.000000 5.000000 48.000000 4520.000000
