!Experiment Random Multi Start
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd mean2_round_time
1000 10 1 tree first_move 3.982000 10 1606076 1603459.800000 1711.934099 2089.400000 71.131146 0.000000
1000 10 1 basic first_move 2.198000 10 1606921 1605013.100000 1628.840720 2136.400000 75.478739 0.000000
1000 10 2 bs_array best_move 7.160000 10 1624475 1622105.400000 2328.926886 1322.400000 66.077530 0.000000
1000 10 2 bs_array first_move 0.633000 10 1628088 1623481.700000 2386.422639 2112.800000 64.214952 0.000000
1000 10 2 tree best_move 3.068000 10 1627054 1623490.900000 2591.586481 1328.400000 52.922963 0.000000
1000 10 2 tree first_move 4.073000 10 1626304 1623832.500000 1611.183494 2098.900000 77.706435 0.000000
1000 10 2 basic first_move 2.171000 10 1625430 1622542.000000 1848.200909 2082.900000 62.013628 0.000000
1000 10 3 bs_array best_move 7.186000 10 1626240 1621205.700000 2561.146933 1334.700000 54.083362 0.000000
1000 10 3 bs_array first_move 0.647000 10 1625683 1622812.100000 1784.710254 2104.500000 57.166861 0.000000
1000 10 3 tree best_move 3.054000 10 1623792 1621421.600000 1950.903903 1330.500000 56.262332 0.000000
1000 10 3 tree first_move 4.231000 10 1626694 1622772.100000 2599.698461 2165.800000 102.745122 0.000000
1000 10 3 basic first_move 2.216000 10 1625725 1622812.900000 1841.994596 2088.000000 50.002000 0.000000
1000 10 4 bs_array best_move 7.272000 10 1621349 1617328.900000 2801.464812 1341.300000 53.005754 0.000000
1000 10 4 bs_array first_move 0.647000 10 1621676 1619201.500000 1341.935710 2117.400000 73.284651 0.000000
1000 10 4 tree best_move 2.986000 10 1619113 1616791.200000 1421.448121 1313.700000 48.742281 0.000000
1000 10 4 tree first_move 4.028000 10 1621641 1618561.900000 1956.089592 2122.200000 59.962989 0.000000
1000 10 4 basic first_move 2.431000 10 1623665 1618981.900000 2780.233316 2157.100000 89.606306 0.000000
1000 10 5 bs_array best_move 7.114000 10 1619872 1615477.200000 2176.204255 1316.800000 67.725623 0.000000
1000 10 5 bs_array first_move 0.641000 10 1619965 1616270.800000 1545.201398 2117.000000 47.778656 0.000000
1000 10 5 tree best_move 2.986000 10 1618489 1615901.200000 1771.667057 1338.900000 61.330987 0.000000
1000 10 5 tree first_move 4.016000 10 1621900 1617696.100000 1848.237942 2099.500000 83.599342 0.000000
1000 10 5 basic first_move 2.443000 10 1620580 1617739.000000 1524.058923 2096.900000 69.328854 0.000000
1000 50 1 bs_array best_move 44.410000 10 8076680 8070266.500000 5123.152687 1699.900000 100.347845 2.000000
1000 50 1 bs_array first_move 10.594000 10 8072814 8070183.300000 2079.737341 3030.600000 71.900209 0.000000
1000 50 1 tree best_move 32.783000 10 8076532 8070024.000000 3406.049354 1698.800000 67.712333 1.000000
1000 50 1 tree first_move 54.017000 10 8076050 8066809.100000 4312.134100 2949.800000 114.359783 1.000000
1000 50 1 basic first_move 3.308000 10 8075019 8067402.400000 4032.624386 2953.100000 99.199244 0.000000
